rank,score,canonical_name,primary_state,hq,size_tier,employees,revenue_est,year_established,school,special_needs,website,phone,lead_exec,verdict_conf,verdict_reason,rationale,sample_address
32,96.2,Transportation Resources Inc,OH,"Columbus, OH",single,80,5059000,1980,0,1,Rentalcarsnear.Me,(614) 253-7948,James Herron (CEO),0.8,Private special-needs transport company in Ohio,80 emp; $5.1M rev; est 1980 (46y); single; web+phone; special-needs,"1120 Rarig Ave, Columbus, OH 43219"
40,96.2,Lift-Aids,TX,"Euless, TX",single,20,1477000,1967,0,1,Lift-Aids.Com,(817) 835-0035,Connie L Stauffer (President),0.65,"Mobility/lift transport provider, possibly acquirable",20 emp; $1.5M rev; est 1967 (59y); single; web+phone; special-needs,"1500 Westpark Way, Euless, TX 76040"
45,96.2,Handi-Wheels Transportation,ND,"Fargo, ND",single,20,1118000,1974,0,1,Handi-Wheels.Org,(701) 232-3231,Tonna Horsley (Finance Exec),0.65,"Disability transit, likely nonprofit but contractor",20 emp; $1.1M rev; est 1974 (52y); single; web+phone; special-needs,"2525 Broadway N # 2, Fargo, ND 58102"
48,95.5,H & L Bloom,MA,"Attleboro, MA",small(2-5),286,17869000,1945,1,0,Bloombus.Com,(508) 455-1329,Mark Bloom (President),0.95,Bloom Bus private school bus contractor MA,286 emp; $17.9M rev; est 1945 (81y); small(2-5); web+phone; school,"676 Pleasant St, Attleboro, MA 02703"
49,95.5,I C Bus LLC,AR,"Conway, AR",small(2-5),255,17154000,1979,1,0,Islandcharter.Com,Not Available,Walter Borst (Manager),0.85,Island Charter private bus operator Arkansas,255 emp; $17.2M rev; est 1979 (47y); small(2-5); web+phone; school,"751 S Harkrider, Conway, AR 72035"
50,95.5,George Dapper Inc,NJ,"Keasbey, NJ",small(2-5),220,13878000,1946,1,0,Dapperbus.Com,(732) 661-1620,George I Dapper (President),0.95,Dapper Bus private NJ school bus contractor,220 emp; $13.9M rev; est 1946 (80y); small(2-5); web+phone; school,"999 Riverside Dr, Keasbey, NJ 08832"
52,95.5,Consolidated Bus Transit,NY,"Bronx, NY",small(2-5),66,12103000,1980,1,0,Consolidatedbustransit.Com,(718) 823-6927,Agnes Wroblewska (Controller),0.95,Known private NYC school bus operator,66 emp; $12.1M rev; est 1980 (46y); small(2-5); web+phone; school,"Hermany Ave, Bronx, NY 10461"
53,95.5,Barker Bus Co,NJ,"Bound Brook, NJ",small(2-5),226,12102000,1954,1,0,Barkerbus.Com,(732) 302-0696,Sondra Oberberger (Office Manager),0.95,Family-named private NJ bus company,226 emp; $12.1M rev; est 1954 (72y); small(2-5); web+phone; school,"1400 US Highway 22, Bound Brook, NJ 08805"
54,95.5,Logan Bus Co Inc,NY,"Ozone Park, NY",single,300,11998000,1991,1,0,Loganbus.Com,(718) 641-6417,Richard Logan (Owner),0.95,Major private NYC school bus contractor,300 emp; $12.0M rev; est 1991 (35y); single; web+phone; school,"9714 Atlantic Ave, Ozone Park, NY 11416"
55,95.5,Belair Transport Inc,NJ,"Orange, NJ",single,200,10315000,1997,1,0,Belairtransport.Com,(973) 676-3131,Michael Grassini Jr (Owner),0.9,Private NJ transport corporation,200 emp; $10.3M rev; est 1997 (29y); single; web+phone; school,"641 Tremont Ave, Orange, NJ 07050"
56,95.5,Vocell Bus Co,MA,"Malden, MA",small(2-5),121,9312000,1909,1,0,Vocell.Com,(781) 324-1329,Barb Goodman (CEO),0.95,Family-named private MA bus company,121 emp; $9.3M rev; est 1909 (117y); small(2-5); web+phone; school,"378 Commercial St, Malden, MA 02148"
57,95.5,Huntington Coach Corp,NY,"Huntington, NY",small(2-5),125,6101000,1926,1,0,Huntingtoncoach.Com,(631) 271-8931,Brendan Clifford (Vice President),0.95,Private NY school bus and coach operator,125 emp; $6.1M rev; est 1926 (100y); small(2-5); web+phone; school,"1359 New York Ave, Huntington, NY 11743"
58,95.5,Lucini Bus Lines,MA,"Bridgewater, MA",small(2-5),149,5833000,1959,1,0,Lucinitransportation.Com,(508) 807-0658,William Lucini (Owner),0.95,Family-named private MA bus operator,149 emp; $5.8M rev; est 1959 (67y); small(2-5); web+phone; school,"1000 Main St, Bridgewater, MA 02324"
59,95.5,Total Transportation Corp,NY,"Bronx, NY",small(2-5),148,5788000,1979,1,0,Totalbusco.Com,(718) 257-2082,Lorna Richardson (Manager),0.95,Private NYC school bus contractor,148 emp; $5.8M rev; est 1979 (47y); small(2-5); web+phone; school,"905 Brush Ave, Bronx, NY 10465"
61,95.5,Cyr Bus Line,ME,"Bangor, ME",small(2-5),115,5588000,1911,1,0,Johntcyrandsons.Com,(207) 942-3354,Joe Cyr (Owner),0.95,John T Cyr private ME bus operator,115 emp; $5.6M rev; est 1911 (115y); small(2-5); web+phone; school,"1246 Ohio St, Bangor, ME 04401"
63,95.5,B G Transportation,NJ,"Passaic, NJ",small(2-5),54,4790000,1981,1,0,Bgtrans.Biz,(973) 365-2616,Bertha Garcia (Owner),0.85,Private NJ school transport company,54 emp; $4.8M rev; est 1981 (45y); small(2-5); web+phone; school,"237 Boulevard, Passaic, NJ 07055"
67,95.5,Carrier Coach Inc,NY,"Buffalo, NY",small(2-5),61,3888000,1973,1,0,Carriercoach.Com,Not Available,Alan Miller (Owner),0.95,Private NY coach and school bus operator,61 emp; $3.9M rev; est 1973 (53y); small(2-5); web+phone; school,"3999 Lake Shore Rd # 1, Buffalo, NY 14219"
68,95.5,Royal Coach Lines,NY,"Elmsford, NY",small(2-5),49,3606000,1950,1,0,Royalcoachlines.Com,(914) 365-1890,Rosa Ibacache (Operations),0.95,Private NY coach line operator,49 emp; $3.6M rev; est 1950 (76y); small(2-5); web+phone; school,"2260 Saw Mill River Rd, Elmsford, NY 10523"
70,95.5,F & S Transportation,PA,"Manchester, PA",small(2-5),60,3420000,1975,1,0,Hr31480.Wixsite.Com,(717) 737-5626,Lea Newcomer (Owner),0.85,Private PA school transport company,60 emp; $3.4M rev; est 1975 (51y); small(2-5); web+phone; school,"37 S Main St, Manchester, PA 17345"
71,95.5,Superior Bus Svc,MI,"Sault Sainte Marie, MI",small(2-5),52,3332000,1981,1,0,Superiorbusservice.Com,Not Available,Meghan Smyth (Owner),0.9,Private MI school bus service,52 emp; $3.3M rev; est 1981 (45y); small(2-5); web+phone; school,"1827 Oak St, Sault Sainte Marie, MI 49783"
72,95.5,American School Bus Co,IL,"Frankfort, IL",small(2-5),60,3188000,1957,1,0,Cookillinois.Com,(708) 895-6749,Cindy Lambrakis (Manager),0.95,Cook-Illinois private IL bus operator,60 emp; $3.2M rev; est 1957 (69y); small(2-5); web+phone; school,"10101 W Laraway Rd, Frankfort, IL 60423"
74,95.5,Lizak Bus Svc Inc,MA,"Warren, MA",small(2-5),52,3038000,1938,1,0,Lizakbus.Com,(800) 357-7788,John Lizak (Owner),0.95,Family-named private MA bus company,52 emp; $3.0M rev; est 1938 (88y); small(2-5); web+phone; school,"1301 Main St, Warren, MA 01083"
75,95.5,B R Williams Inc,NJ,"Penns Grove, NJ",small(2-5),60,2995000,1934,1,0,Brwilliamsinc.Com,(856) 299-1400,Bill Williams (Owner),0.9,Private NJ school bus company,60 emp; $3.0M rev; est 1934 (92y); small(2-5); web+phone; school,"125 Railroad Ave, Penns Grove, NJ 08069"
76,95.5,Randall Bus Svc,FL,"Jacksonville, FL",small(2-5),40,2805000,1970,1,0,Randalltransportation.Com,(904) 683-6024,Sherman Randall (President),0.95,"Private school bus service, FL",40 emp; $2.8M rev; est 1970 (56y); small(2-5); web+phone; school,"1229 Lane Cir E, Jacksonville, FL 32254"
77,95.5,Raphael Irvin Inc,NJ,"East Brunswick, NJ",small(2-5),55,2733000,1919,1,0,Raphaelbus.Com,(732) 251-2447,Eric Raphael (President),0.92,"Family-named private bus Inc, NJ",55 emp; $2.7M rev; est 1919 (107y); small(2-5); web+phone; school,"550 Old Stage Rd, East Brunswick, NJ 08816"
78,95.5,GST Transport,NJ,"Freehold, NJ",small(2-5),50,2456000,1968,1,0,Gst.Com,(732) 252-9020,Joe Giordano (Manager),0.85,Private NJ school transport company,50 emp; $2.5M rev; est 1968 (58y); small(2-5); web+phone; school,"98 Crow Hill Rd, Freehold, NJ 07728"
79,95.5,Twincity Transportation,MN,"Mendota Heights, MN",single,50,2173000,1988,1,0,Twincitytransport.Com,(952) 884-6824,Tom Reise (Owner),0.9,Private MN school transport company,50 emp; $2.2M rev; est 1988 (38y); single; web+phone; school,"1408 Northland Dr # 32, Mendota Heights, MN 55120"
83,95.5,Harlow's Bus Svc,MT,"Kalispell, MT",small(2-5),32,1315000,1971,1,0,Harlowsbussales.Com,(406) 755-4272,Sandy Evenson (Manager),0.95,Family-owned private MT bus service,32 emp; $1.3M rev; est 1971 (55y); small(2-5); web+phone; school,"1939 1/2 MT Highway 35, Kalispell, MT 59901"
84,95.5,Southwinds School Activity Svc,CA,"Sun Valley, CA",single,25,1253000,2001,1,0,Swbuses.Com,(818) 504-1100,Leslie Schimel (Manager),0.8,Private CA activity bus service,25 emp; $1.3M rev; est 2001 (25y); single; web+phone; school,"9303 Sunland Blvd, Sun Valley, CA 91352"
85,95.5,Southwest Bus Svc Inc,WI,"La Crosse, WI",small(2-5),25,1058000,1982,1,0,Southwestbus.Net,(800) 796-7961,Lucille Boxrucker (President),0.95,Private WI bus service Inc,25 emp; $1.1M rev; est 1982 (44y); small(2-5); web+phone; school,"1720 S 11th St, La Crosse, WI 54601"
87,93.2,Safeway Transportation,MI,"Hamtramck, MI",small(2-5),116,11315000,1975,0,1,Safewaytransportation.Com,(313) 892-1350,Patricia Whitlow (President),0.9,Private MI special-needs transport company,116 emp; $11.3M rev; est 1975 (51y); small(2-5); web+phone; special-needs,"13469 Conant St, Hamtramck, MI 48212"
91,93.2,Comtrans,AZ,"Phoenix, AZ",single,75,5643000,1995,0,1,Gocomtrans.Com,(602) 231-0102,Edward Van Home (President),0.7,AZ special-needs transport provider,75 emp; $5.6M rev; est 1995 (31y); single; web+phone; special-needs,"2336 E Magnolia St, Phoenix, AZ 85034"
96,93.2,Koala Kruizers,OH,"North Canton, OH",single,20,3393000,1994,0,1,Koalakruizers.Com,(330) 966-2327,Cyndi Morrow (Owner),0.7,OH special-needs private transport,20 emp; $3.4M rev; est 1994 (32y); single; web+phone; special-needs,"1170 S Main St, North Canton, OH 44720"
98,93.2,New Malwa Express Inc,MI,"Romulus, MI",single,35,2501000,1997,0,1,Newmalwa.Com,(734) 946-1570,Eli Doss (Vice President),0.7,MI private transport Inc,35 emp; $2.5M rev; est 1997 (29y); single; web+phone; special-needs,"28666 Hildebrandt St, Romulus, MI 48174"
101,93.2,Peoples Express,MN,"Wadena, MN",single,48,1799000,1992,0,1,Peoplesexpressmn.Com,(218) 631-2909,Janice Roers (CEO),0.7,"Private transport operator, special needs flagged",48 emp; $1.8M rev; est 1992 (34y); single; web+phone; special-needs,"15578 Shady Acres Dr, Wadena, MN 56482"
102,93.2,Wheelchair Transport Svc,FL,"Clearwater, FL",small(2-5),21,1353000,1972,0,1,Wheelchairtransport.Com,(727) 586-2811,Bud Williams (Owner),0.75,Private special-needs transport service,21 emp; $1.4M rev; est 1972 (54y); small(2-5); web+phone; special-needs,"14561 58th St N, Clearwater, FL 33760"
103,93.2,RATS,VA,"Lexington, VA",single,25,1314000,1994,0,1,Rockbridgetransportation.Org,(540) 463-3346,Hattie Myers (Exec Director),0.6,"Rockbridge Area Transportation, likely nonprofit/private operator",25 emp; $1.3M rev; est 1994 (32y); single; web+phone; special-needs,"712 N Main St, Lexington, VA 24450"
104,93.2,Cozy Van,IA,"New Hampton, IA",small(2-5),21,1249000,1970,0,1,Cozyvan.Com,(641) 394-2201,Maryann Diesburg (Owner),0.7,Private special-needs van transport,21 emp; $1.2M rev; est 1970 (56y); small(2-5); web+phone; special-needs,"121 W Main St, New Hampton, IA 50659"
105,93.2,First Class Transportation Inc,FL,"Hudson, FL",small(2-5),13,1203000,1982,0,1,Firstclasstransinc.Com,(352) 686-4753,Lorraine Wood (Owner),0.85,"Corporate Inc suffix, private transport",13 emp; $1.2M rev; est 1982 (44y); small(2-5); web+phone; special-needs,"18436 Gentle Breeze Ct, Hudson, FL 34667"
106,93.2,Deming Karen,FL,"Pensacola, FL",single,20,1184000,1996,0,1,Beachwheelchair.Com,(850) 478-5765,Michael Deming (Owner),0.55,"Beach wheelchair, likely small private operator",20 emp; $1.2M rev; est 1996 (30y); single; web+phone; special-needs,"1090 Cobblestone Dr, Pensacola, FL 32514"
107,93.2,Hour Transportation,MI,"Southfield, MI",single,15,1032000,1996,0,1,Hourtransportation.Com,(248) 569-7500,Ken Gilbert (Owner),0.75,Private transportation company,15 emp; $1.0M rev; est 1996 (30y); single; web+phone; special-needs,"17368 W 12 Mile Rd # 100, Southfield, MI 48076"
108,92.5,Student Bus Co,NY,"Fair Lawn, NJ",small(2-5),146,26581000,1989,1,0,Nysbca.Com,Not Available,John W Ely (CEO),0.8,"Bus Co suffix, private school bus operator",146 emp; $26.6M rev; est 1989 (37y); small(2-5); web+phone; school,"PO Box 1130, Fair Lawn, NJ 07410"
109,92.5,Student Transportation,OR,"Waterford, CT",mid(6-14),250,25537000,1970,1,0,Ridesta.Com,(860) 443-3313,Howard Anderson Jr (Owner),0.9,"STA, large private student transport company",250 emp; $25.5M rev; est 1970 (56y); mid(6-14); web+phone; school,"20 Rope Ferry Rd, Waterford, CT 06385"
110,92.5,Minnesota Coaches Inc,MN,"Minneapolis, MN",mid(6-14),186,13510000,1929,1,0,Minnesotacoaches.Com,(612) 238-2120,Manfred Litzenberger (Manager),0.9,"Coaches Inc, private bus operator",186 emp; $13.5M rev; est 1929 (97y); mid(6-14); web+phone; school,"2623 Kennedy St NE, Minneapolis, MN 55413"
111,92.5,GVC,NY,"Bronx, NY",small(2-5),43,9103000,1990,1,0,Bronxbus.Com,(718) 822-0638,Michael Devanie (President),0.7,"Bronx school bus operator, private",43 emp; $9.1M rev; est 1990 (36y); small(2-5); web+phone; school,"450 Zerega Ave, Bronx, NY 10473"
113,92.5,Fullington Auto Bus Co,PA,"Hollidaysburg, PA",mid(6-14),125,6164000,1908,1,0,Fullington.Com,Not Available,Judy Morrow (Manager),0.9,"Private bus company, family-owned PA",125 emp; $6.2M rev; est 1908 (118y); mid(6-14); web+phone; school,"307 Washington Ave, Hollidaysburg, PA 16648"
115,92.5,Butler's Bus Svc,NH,"Center Barnstead, NH",mid(6-14),88,5179000,1970,1,0,Butlersbus.Com,(603) 813-2056,Christa Davis (Manager),0.95,"Possessive family name, private bus service",88 emp; $5.2M rev; est 1970 (56y); mid(6-14); web+phone; school,"72 S Barnstead Rd, Center Barnstead, NH 03225"
116,92.5,Harlow's School Bus Svc,SD,"Garden Valley, ID",mid(6-14),101,4634000,1971,1,0,Harlowsschoolbus.Com,(208) 462-5085,Jacob Iverson (Vice President),0.95,"Possessive family name, private school bus",101 emp; $4.6M rev; est 1971 (55y); mid(6-14); web+phone; school,"1069 Banks Lowman Rd, Garden Valley, ID 83622"
117,92.5,A M Bus Co,IL,"Chicago, IL",small(2-5),55,3195000,1992,1,0,Ambuscompany.Com,(773) 396-5556,Pamela Williams (Owner),0.9,"Bus Co, private Chicago school bus",55 emp; $3.2M rev; est 1992 (34y); small(2-5); web+phone; school,"100 W 91st St, Chicago, IL 60620"
118,92.5,Golden Ring Transportation Inc,NY,"Brooklyn, NY",small(2-5),35,2261000,1993,1,0,Goldenringtransit.Wordpress.Com,(917) 672-6221,Yuriy Shabashkevich (President),0.9,"Inc suffix, private Brooklyn transport",35 emp; $2.3M rev; est 1993 (33y); small(2-5); web+phone; school,"2356 E 4th St, Brooklyn, NY 11223"
121,92.5,Palmer Bus Svc Of JWP,MN,"Janesville, MN",single,17,714000,1977,1,0,Palmerbusservice.Com,(507) 231-5550,Jenna Fromm (CEO),0.95,"Palmer Bus Service, private MN operator",17 emp; $0.7M rev; est 1977 (49y); single; web+phone; school,"710 E 2nd St, Janesville, MN 56048"
122,92.5,Fullington,PA,"Bellefonte, PA",single,20,710000,1908,1,0,Fullingtontours.Com,(814) 548-7550,Jennifer Corman (Director),0.9,"Fullington Tours, private PA bus company",20 emp; $0.7M rev; est 1908 (118y); single; web+phone; school,"121 N Harrison Rd, Bellefonte, PA 16823"
123,92.5,Smyth Buss Co,NY,"New York, NY",single,16,672000,1973,1,0,Smythbusct.Com,(860) 623-8775,,0.9,"Bus Co suffix, private operator",16 emp; $0.7M rev; est 1973 (53y); single; web+phone; school,"123 5th Ave, New York, NY 10003"
124,92.5,Hoekstra Transportation,MI,"Grand Rapids, MI",single,15,648000,1927,1,0,Hoekstratransportation.Com,(616) 245-7440,John Hoekstra (Owner),0.9,"Family name, private transportation company",15 emp; $0.6M rev; est 1927 (99y); single; web+phone; school,"3741 Roger B Chaffee Mem Dr SE, Grand Rapids, MI 49548"
126,92.5,Sheppard Bus,NJ,"Millville, NJ",single,12,504000,1951,1,0,Sheppardbus.Com,(856) 765-3812,Mike Aristone (Manager),0.95,Private school bus company,12 emp; $0.5M rev; est 1951 (75y); single; web+phone; school,"300 M St # A, Millville, NJ 08332"
127,92.5,Middledorf Bus Co,MD,"Clinton, MD",single,12,480000,1980,1,0,Middledorfbus.Com,(301) 856-5576,Cris Middledorf (Owner),0.95,Family-named private bus company,12 emp; $0.5M rev; est 1980 (46y); single; web+phone; school,"7801 Anbar Ln, Clinton, MD 20735"
131,92.5,Suffolk Transportation Systs,NY,"Bay Shore, NY",single,10,337000,1921,1,0,Suffolkbus.Com,(631) 665-3245,,0.97,Major private student transport contractor,10 emp; $0.3M rev; est 1921 (105y); single; web+phone; school,"10 Moffitt Blvd, Bay Shore, NY 11706"
134,91.0,Johannes Bus Svc,IL,"Rock Island, IL",small(2-5),170,37132000,1964,1,0,Johannesbus.Com,(563) 322-2016,Brian Stombaugh (Director),0.95,Family-named private bus service,170 emp; $37.1M rev; est 1964 (62y); small(2-5); web+phone; school,"7909 42nd St W # 1, Rock Island, IL 61201"
135,91.0,Independent Coach Corp,NY,"Hewlett, NY",small(2-5),368,18127000,1940,1,0,Independentcoach.Com,(516) 569-5364,Lori Cimato (Director),0.9,Private coach/transport company,368 emp; $18.1M rev; est 1940 (86y); small(2-5); web+phone; school,"1145 Railroad Ave, Hewlett, NY 11557"
137,90.5,A1 Service Inc,PA,"Verona, PA",single,50,2216000,2006,1,0,A1transit.Net,(412) 793-2700,Marlene Sachs (Owner),0.85,"Private transit company, a1transit.net",50 emp; $2.2M rev; est 2006 (20y); single; web+phone; school,"154 Sandy Creek Rd, Verona, PA 15147"
138,90.5,Palmer Bus Svc Of Maple River,MN,"Mapleton, MN",single,35,1446000,2007,1,0,Palmerbusservice.Com,(507) 674-3177,Jenna Fromm (CEO),0.97,Palmer Bus Service private contractor,35 emp; $1.4M rev; est 2007 (19y); single; web+phone; school,"201 8th Ave NE, Mapleton, MN 56065"
142,90.5,Go-Ahead North America,MO,"Saint Louis, MO",single,140,5943000,1964,1,0,,(314) 771-0760,Sheila Smith (Manager),0.9,Private transport operator subsidiary,140 emp; $5.9M rev; est 1964 (62y); single; phone; school,"1120 S 2nd St, Saint Louis, MO 63104"
146,90.5,Byram Bus Inc,NJ,"Hopatcong, NJ",single,50,2186000,1964,1,0,,(973) 398-5500,Frank Walker (Manager),0.95,Private incorporated bus company,50 emp; $2.2M rev; est 1964 (62y); single; phone; school,"19 Stanhope Sparta Rd, Hopatcong, NJ 07843"
148,90.5,Farsha Capital Amer Bus Group,NY,"Bronx, NY",single,28,1095000,1970,1,0,,(347) 590-3002,,0.75,Private bus group company,28 emp; $1.1M rev; est 1970 (56y); single; phone; school,"791 Westchester Ave, Bronx, NY 10455"
149,90.2,A A Transportation Co Inc,MA,"East Brookfield, MA",small(2-5),99,8766000,1996,0,1,Aatransportation.Com,(708) 849-6061,Aleesha Humphrey Dunn (Owner),0.95,Private incorporated transport company,99 emp; $8.8M rev; est 1996 (30y); small(2-5); web+phone; special-needs,"174 W Main St, East Brookfield, MA 01515"
152,90.2,A & A Limousine,AZ,"Tucson, AZ",small(2-5),27,3018000,1994,0,1,A-Alimo.Com,(520) 795-2175,Gary Aegerter (Owner),0.55,"Limousine service, unlikely school bus focused",27 emp; $3.0M rev; est 1994 (32y); small(2-5); web+phone; special-needs,"2810 E Farr St, Tucson, AZ 85716"
153,90.2,General Transportation,CA,"San Jose, CA",small(2-5),25,1991000,1990,0,1,Generaltransportationinc.Com,(408) 881-0100,Gumaro Almon (Owner),0.6,Generic private transportation company name,25 emp; $2.0M rev; est 1990 (36y); small(2-5); web+phone; special-needs,"250 Commercial St, San Jose, CA 95112"
160,89.5,Dean Transportation,MI,"Grand Rapids, MI",mid(6-14),495,26260000,1969,1,1,Deandifference.Com,(616) 885-1657,Cynthia Bourdon (Director),0.95,Major Michigan private school bus contractor,495 emp; $26.3M rev; est 1969 (57y); mid(6-14); web+phone; school+special,"4155 Trade Dr SE, Grand Rapids, MI 49508"
161,89.5,Palmer Bus Svc,MN,"Austin, MN",mid(6-14),190,8277000,1999,1,0,Palmerbusservice.Com,(507) 433-8586,Roger Stahl (Manager),0.95,Minnesota private school bus contractor,190 emp; $8.3M rev; est 1999 (27y); mid(6-14); web+phone; school,"1204 23rd Ave SW, Austin, MN 55912"
162,89.5,Braga Transportation Cozy Bus,MA,"Fall River, MA",single,25,989000,2001,1,0,Cozyautotours.Com,(508) 673-6779,Bob Braga (Owner),0.9,Private MA bus/coach operator,25 emp; $1.0M rev; est 2001 (25y); single; web+phone; school,"98 Manchester St, Fall River, MA 02721"
163,89.5,A & M Transit,OH,"Youngstown, OH",small(2-5),24,915000,1927,1,0,Uscoachtours.Com,(330) 781-8687,Lisa Wire (Manager),0.8,US Coach Tours affiliated private operator,24 emp; $0.9M rev; est 1927 (99y); small(2-5); web+phone; school,"5614 South Ave, Youngstown, OH 44512"
164,89.5,Harlow's School Bus Svc Inc-Mt,MT,"Libby, MT",small(2-5),30,839000,1953,1,0,Harlowsschoolbus.Com,(406) 293-8845,Jeremy Hageness (Vice President),0.97,Private Montana school bus contractor Inc,30 emp; $0.8M rev; est 1953 (73y); small(2-5); web+phone; school,"30772 US Highway 2, Libby, MT 59923"
165,89.5,King's Transit,PA,"Waynesburg, PA",single,22,810000,1998,1,0,Kingtransitinc.Com,(724) 627-8729,Harold E King Jr (President),0.85,Private PA transit company Inc,22 emp; $0.8M rev; est 1998 (28y); single; web+phone; school,"165 Maple Hl, Waynesburg, PA 15370"
