entity_key,canonical_name,locations,size_tier,n_states,states,primary_state,loc_employees_sum,loc_sales_sum,corp_employees,corp_sales,year_established,school,special_needs,charter,parents,website,phone,lead_exec,hq,sample_address,name_variants,nontarget_reason,review_flag,gov_flag,credit_score,is_target
LAIDLAW TRANSIT,Laidlaw Transit Inc,58,very-large(50+),21,"CA,IL,PA,CT,WI,MO,NY,AK",CA,1908,169617000,0,0,1925,1,1,1,,Laidlaw.Com,(907) 274-6474,Lisa Serra (Manager),"Fairbanks, AK","384 W Trainor Gate Rd, Fairbanks, AK 99701",Laidlaw Transit Inc(43); Laidlaw Transit(15),national-platform,,0,B,0
TRAILWAYS TRANSPORTATION SYST,Martz Trailways,58,very-large(50+),25,"PA,MO,AL,NY,CA,LA,SC,MA",PA,1734,62766000,2082,390783000,1908,1,0,1,TRAILWAYS TRANSPORTATION SYST,Trailways.Com,(334) 832-4166,Mike Hazard (Manager),"Hagerstown, MD","19723 Leitersburg Pike, Hagerstown, MD 21742",Martz Trailways(8); Cross Country Trailways(4); Huskey Trailways(3); Birnie Bus Svc(3),,large-independent,0,A,1
FIRST TRANSIT,First Transit Inc,49,large(15-49),21,"CT,PA,CA,IL,MN,NY,OR,AL",CT,2608,254339000,0,0,1955,1,0,1,,Firsttransit.Com,(907) 747-6436,Rebecca Johnson (Manager),"Sitka, AK","1400 Sawmill Creek Rd, Sitka, AK 99835",First Transit Inc(48); First Transit(1),national-platform,,0,A,0
DURHAM SCHOOL SERVICE,Durham School Svc,48,large(15-49),15,"TX,KS,PA,IL,MO,CA,MD,NM",TX,1963,98623000,0,0,1946,1,0,1,,Durhamschoolservices.Com,(256) 489-1025,Bob Streeter (Manager),"Huntsville, AL","1707 Jordan Ln NW, Huntsville, AL 35816",Durham School Svc(48),national-platform,,0,I,0
VARIANT EQUITY ADVISORS,Coach USA,35,large(15-49),15,"FL,NJ,NY,PA,TX,CA,WI,IL",FL,593,49093000,13000,246413000,1970,0,0,1,VARIANT EQUITY ADVISORS LLC,Coachusa.Com,(501) 888-8900,Greg Nichols (Manager),,,Coach USA(32); Coach USA Pacific Coast(1); Coach USA Inc(1); Coach USA Of Western New York(1),national-platform,,0,A+,0
HIG CAPITAL,Illinois Central School Bus,30,large(15-49),6,"IL,ID,MO,IA,IN,KS",IL,1903,98938000,2117,129414000,1959,1,0,1,HIG CAPITAL LLC,Northamericacentral.Com,(319) 688-1900,Brad Carpenter (Manager),,,Illinois Central School Bus(22); Iowa Central School Bus(1); Brown Bus Co(1); Brown Bus Co Inc(1),PE-owned(HIG CAPITAL LLC),,0,A,0
DATTCO,DATTCO Inc,29,large(15-49),3,"CT,MA,RI",CT,1434,127472000,11195,217574000,1924,0,0,1,DATTCO INC,Dattco.Com,(860) 673-7231,Laura Dinoia (Manager),"New Britain, CT","583 South St, New Britain, CT 06051",DATTCO Inc(24); DATTCO Sales & Svc(4); Dattco Inc(1),,large-independent,0,A+,1
COACH USA,Coach USA,28,large(15-49),11,"NY,TX,NJ,CA,FL,WV,IN,LA",NY,546,57818000,0,0,1929,0,0,1,COACH USA INC,Icoachusa.Com,(760) 603-8198,Jeremy Granger (Manager),"Toms River, NJ","1080 Route 37 W, Toms River, NJ 08755",Coach USA(13); Coach USA Short Line(3); Park Tours(2); Coach USA Sightseeing(1),national-platform,,0,A,0
ILLINOIS CENTRAL SCHOOL BUS,Illinois Central School Bus,28,large(15-49),7,"IL,IN,MN,OR,TX,VA,WI",IL,1149,50234000,0,0,,1,0,1,,Illinois-Central.Com,Not Available,Dan Klemple (Director),"Aurora, IL","78 N Chicago Saint 2, Aurora, IL 60506",Illinois Central School Bus(24); Illinois Central Sch Bus LLC(4),,large-independent,0,B+,1
GREYHOUND BUS LINES,Greyhound Bus Lines,25,large(15-49),18,"TX,CA,IL,NY,AR,CO,CT,IA",TX,157,14085000,0,0,,0,0,1,,Greyhound.Com,Not Available,,"Blytheville, AR","PO Box 2183, Blytheville, AR 72316",Greyhound Bus Lines(24); Greyhound Bus Lines Inc(1),national-platform,,0,B+,0
COAST MOUNTAIN BUS,Coast Mountain Bus Co,24,large(15-49),16,"CA,CT,KY,MA,NJ,TX,FL,IL",CA,482,21543000,0,0,,1,0,0,,Coastmountainbus.Com,Not Available,,"La Puente, CA","13600 Alcade St, La Puente, CA 91746",Coast Mountain Bus Co(23); Coast Mountain Bus Co LTD(1),,large-independent,0,A+,1
ALL ABOARD AMERICA HOLDINGS,Hotard Coaches Inc,23,large(15-49),10,"LA,CA,TX,AZ,CO,FL,MS,NM",LA,549,24624000,2963,117180000,1935,0,0,1,ALL ABOARD AMERICA! HOLDINGS,Allaboardamerica.Com,(480) 962-6202,Jack D Wigley (CEO),"Lakewood, CO","1726 Cole Blvd # 220, Lakewood, CO 80401",Hotard Coaches Inc(6); All Aboard America!(4); Lux Bus America(4); Sun Diego Charter Co(2),,large-independent,0,A+,1
BUS GARAGE,Bus Garage,23,large(15-49),14,"IA,MI,NY,AR,KS,MN,IN,KY",IA,470,18578000,0,0,1970,1,0,1,,Dermott.K12.Ar.Us,Not Available,Jerry Kuster (Manager),"Dermott, AR","525 E Speedway St, Dermott, AR 71638",Bus Garage(23),,large-independent,0,A+,1
SOUTH CAROLINA DEPARTMENT OF EDU,School Bus Maintenance Shop,23,large(15-49),1,SC,SC,218,5139000,0,0,,1,0,0,SOUTH CAROLINA DEPT OF EDU,Ed.Sc.Gov,(803) 641-7635,Robert Hoffman (Manager),,,School Bus Maintenance Shop(5); Aiken School Bus Mntnc Shop(1); Anderson School Bus Mntnc(1); Brunson School Bus Mntnc Shop(1),,large-independent,1,A,1
RENCO GROUP,Van Galder Bus,21,large(15-49),5,"NY,NJ,WI,IL,MD",NY,2394,37456000,5684,253858000,1918,0,0,1,RENCO GROUP INC,Web.Coachusa.Com,Not Available,Scott Morovits (Director),,,Van Galder Bus(5); Rockland Coaches(4); Coach USA Short Line(4); Dillon's Bus Svc Inc(1),,large-independent,0,B+,1
ALL STAR TRANSPORTATION,All-Star TRANSPORTATION LLC,20,large(15-49),4,"CT,TX,UT,WY",CT,477,37830000,330,78262000,2004,0,0,1,ALL-STAR TRANSPORTATION LLC,All-Startransportation.Com,Not Available,Henry Sikorski (Manager),"Waterbury, CT","146 Huntingdon Ave, Waterbury, CT 06708",All-Star TRANSPORTATION LLC(19); All Star Transportation(1),,large-independent,0,A,1
COOK ILLINOIS,Lakeside Transportation,20,large(15-49),1,IL,IL,2301,2281000,790,66013000,1957,1,0,0,COOK-ILLINOIS CORP,Cookillinois.Com,(708) 371-2986,Linon Glenn (Manager),"Oak Brook, IL","2100 Clearwater Dr # 250, Oak Brook, IL 60523",Lakeside Transportation(2); Alpha School Bus Co Inc(1); American School Bus Co-Frnkfrt(1); American School Bus Co-Orland(1),,large-independent,0,A+,1
ATLANTIC EXPRESS,Atlantic Express,17,large(15-49),4,"NY,NJ,MA,IL",NY,1492,112586000,0,0,1964,1,0,1,,Atlanticexpresscorp.Com,(773) 847-8670,Steven Cordell (President),"Chicago, IL","2940 W 36th St, Chicago, IL 60632",Atlantic Express(17),,large-independent,0,A+,1
TRANSPORTATION DEPARTMENT,Transportation Department,17,large(15-49),11,"TX,MI,OH,AL,AZ,CA,CO,FL",TX,1250,53970000,0,0,1882,1,0,0,,Wps.Org,(334) 855-4988,Lewis Carloss (Director),"Seale, AL","85 Poorhouse Rd, Seale, AL 36875",Transportation Department(16); Trans Department(1),,large-independent,1,A,1
KOBUSSEN BUS,Kobussen Buses School Trnsprtn,17,large(15-49),1,WI,WI,761,25354000,651,543659000,1938,1,0,1,KOBUSSEN BUSES LTD,Kobussen.Com,(608) 448-4482,Chris Angell (Director),"Kaukauna, WI","W914 County Road Ce, Kaukauna, WI 54130",Kobussen Buses School Trnsprtn(15); Kobussen Buses(1); Kobussen Buses LTD(1),,large-independent,1,A,1
SCHOOL BUS,School Bus,15,large(15-49),12,"SD,CA,IL,IN,MA,MI,MS,NC",SD,465,64407000,0,0,2015,1,0,0,,Schoolbus.Com,Not Available,Mario Trujillo (Owner),"Fontana, CA","9395 Evergreen Ln, Fontana, CA 92335",School Bus(6); School Bus LLC(5); School Bus Inc(3); C & L School Buses(1),,large-independent,0,B+,1
CHARTER BUS,Charter Bus,15,large(15-49),8,"NJ,TX,AZ,CA,NC,FL,GA,MA",NJ,124,11723000,0,0,2015,0,0,1,,Charterbusnyc.Net,(928) 635-9010,Jose Aguero (Manager),"Flagstaff, AZ","4050 S Lake Mary Rd, Flagstaff, AZ 86005",Charter Bus(6); Charter Bus Co(4); Charter Bus Inc(3); Charter Bus LLC(2),,large-independent,0,B,1
BUS BARN,Bus Barn,15,large(15-49),7,"KS,MO,IA,OK,TX,AL,OR",KS,217,8076000,0,0,1970,1,0,0,,Usd340.Org,(256) 734-5930,Doug Millwood (Manager),"Cullman, AL","1845 3rd Ave SE, Cullman, AL 35055",Bus Barn(15),,large-independent,0,B+,1
JAMES RIVER BUS LINES,James River Bus Lines,15,large(15-49),1,VA,VA,52,4826000,0,0,,0,0,1,,Jrbl.Com,Not Available,,"Chesapeake, VA","1561 Campostella Rd # 146, Chesapeake, VA 23320",James River Bus Lines(15),,large-independent,0,B,1
CARLYLE GROUP,Illinois Central School Bus,14,mid(6-14),4,"IL,MN,IN,MA",IL,597,27392000,0,0,,1,0,0,CARLYLE GROUP INC,Illinois-Central.Com,(708) 489-8000,Monica Wilkins (Manager),,,Illinois Central School Bus(11); North American CNTRL Schl Bus(1); Minnesota Central School Bus(1); Palmer Bus Svc(1),PE-owned(CARLYLE GROUP INC),,0,A,0
ARROW STAGE LINES,Arrow Stage Lines,14,mid(6-14),9,"KS,NE,AZ,CO,IA,MO,NC,NJ",KS,250,26911000,400,15900000,1928,0,0,1,ARROW STAGE LINES,Arrowstagelines.Com,(480) 731-1900,Dortha Harris (Manager),"Phoenix, AZ","4001 S 34th St, Phoenix, AZ 85040",Arrow Stage Lines(12); Arrow Stage Lines Inc(2),,,0,B+,1
UNITED ACCESS,United Access,14,mid(6-14),8,"TX,MO,CA,CO,NM,NY,OK,TN",TX,97,6969000,0,0,1981,0,1,0,,Braunability.Com,(916) 392-1196,Darrell T Heath (Owner),"Sacramento, CA","6550 Freeport Blvd, Sacramento, CA 95822",United Access(14),,,0,B+,1
TRANSPORTATION GROUP,Educational Bus Transportation,13,mid(6-14),1,NY,NY,1811,47428000,3074,175396000,1955,1,0,0,TRANS GROUP LLC,Thetransgroup.Com,(845) 356-2200,Joanne Thompson (Mfg Exec),"Copiague, NY","222 Hudson St, Copiague, NY 11726",Educational Bus Transportation(7); Trans Group LLC(2); Chestnut Ridge Transportation(1); Chestnut Ridge Trnsprtn Inc(1),,,0,A+,1
ALAMANCE BURLINGTON SCHOOL,Alamance-Burlington Sch,13,mid(6-14),2,"NC,TX",NC,477,19590000,0,0,,1,0,0,,Abss.K12.Nc.Us,Not Available,Hunter Banks (Educator),"Burlington, NC","141 Trail One, Burlington, NC 27215",Alamance-Burlington Sch(13),,,1,A+,1
ROCKLAND COACH,Rockland Coach,13,mid(6-14),7,"FL,IL,NJ,AZ,CA,NM,PA",FL,120,12215000,0,0,,0,0,1,,Coachusa.Com,Not Available,,"Phoenix, AZ","4001 S 34th St, Phoenix, AZ 85040",Rockland Coach(13),,,0,B+,1
WMK,WMK LLC,13,mid(6-14),9,"OH,MI,NC,DE,MA,NJ,NY,TX",OH,156,7736000,460,63350000,1977,0,1,0,WMK LLC,Mobilityworks.Com,(302) 613-7555,Ozzie Nunez (Other),"Bear, DE","1010 Contractors Way, Bear, DE 19701",WMK LLC(12); Mobility Works(1),,,0,B,1
KRAPF GROUP,Krapf School Bus,12,mid(6-14),2,"PA,DE",PA,1188,53329000,1838,68529000,1939,1,0,1,KRAPF GROUP INC,Krapfbus.Com,(302) 464-3042,Carla Reilly (Manager),,,Krapf School Bus(3); Krapf's Coaches Inc(2); Krapf Coaches Inc(2); Advanced Student(1),,,0,A,1
MID COLUMBIA BUS,Mid Columbia Bus Co,12,mid(6-14),1,OR,OR,270,19196000,0,0,,1,0,1,,Midcobus.Com,(503) 843-4005,Debbie Baker (Manager),"Sheridan, OR","1017 W Main St, Sheridan, OR 97378",Mid Columbia Bus Co(7); Mid Columbia Bus Co Inc(2); Mid-Columbia Bus Co(2); Mid Columbia Bus(1),,,0,A+,1
DOUSMAN TRANSPORT,Dousman Transport Co,12,mid(6-14),1,WI,WI,450,14164000,6701,65051000,1962,1,0,0,DOUSMAN TRANSPORT CO INC,Dtcbus.Com,(262) 534-2191,Laurie Moser (Manager),"Waterford, WI","515 Elizabeth St, Waterford, WI 53185",Dousman Transport Co(10); Dousman Transport(1); Dousman Transport Co Inc(1),,,0,A+,1
FIRSTGROUP PLC,Firstgroup PLC,12,mid(6-14),10,"NY,OH,KS,MI,MT,NJ,NM,OR",NY,61,5724000,0,0,,0,0,1,,Firstgroup.Com,Not Available,,"Shawnee, KS","13524 W 70th Ter, Shawnee, KS 66216",Firstgroup PLC(12),national-platform,,0,B+,0
AMERICAN COACHWAYS BUS CHARTER,American Coachways Bus Charter,12,mid(6-14),8,"FL,CA,OH,CO,CT,IN,MD,TX",FL,50,5204000,0,0,,0,0,1,,,(213) 236-3690,,"Los Angeles, CA","515 S Flower St # 36, Los Angeles, CA 90071",American Coachways Bus Charter(12),,,0,B,1
AVALON TRANSPORTATION,Avalon Transportation,11,mid(6-14),4,"CA,MA,PA,TX",CA,434,22773000,3428,153335000,1929,0,0,1,AVALON TRANSPORTATION INC,Avalontrans.Com,(650) 579-2677,Jeff Brush (Owner),"Culver City, CA","1000 Corporate Pointe # 150, Culver City, CA 90230",Avalon Transportation(4); Avalon Transportation Svc(2); Avalon Transportation & Livery(1); Avalon Transportation INC(1),,,0,A+,1
LEVY SCHOOL BUS,Levy School Bus Co,11,mid(6-14),3,"PA,DE,NC",PA,422,22638000,0,0,1926,1,0,1,,Levybus.Com,Not Available,Michelle Larrabee (Other),"Lewes, DE","38 Whitehaven Way, Lewes, DE 19958",Levy School Bus Co(11),,,0,A+,1
SCHOOL BUS GARAGE,School Bus Garage,11,mid(6-14),9,"IA,NY,GA,ID,MO,OH,TN,WI",IA,311,10742000,0,0,2018,1,0,0,,Dodge.K12.Ga.Us,(478) 374-6487,Bode Gray (Director),"Eastman, GA","328 School Bus Aly, Eastman, GA 31023",School Bus Garage(11),,,1,A+,1
COACH AMERICA,Coach America,11,mid(6-14),9,"AZ,TX,CA,FL,ID,NC,ND,NY",AZ,51,5165000,0,0,,0,0,1,COACH AMERICA,Coachamerica.Com,Not Available,Dwayne Knuth (Other),"Phoenix, AZ","1243 S 7th St, Phoenix, AZ 85034",Coach America(9); Cruise Connection(1); Coach America Inc(1),,,0,B+,1
MASTERS TRANSPORTATION,Master's Transportation-Hot,10,mid(6-14),8,"MO,AR,CA,CO,FL,MD,NE,TX",MO,94,172895000,118,85304000,,0,0,0,MASTERS TRANSPORTATION INC,Masterstransportation.Com,(501) 262-9714,David Lindsey (Manager),"Belton, MO","800 Quik Trip Way, Belton, MO 64012",Master's Transportation-Hot(1); Masters Transportation-Corona(1); Master's Transportation-Denver(1); Master's Transportation-Orlnd(1),,,0,B+,1
WE TRANSPORT,We Transport,10,mid(6-14),1,NY,NY,1200,82139000,2339,61408000,,1,0,1,WE TRANSPORT LLC,Wetransport.Com,(914) 218-3663,Elizabeth Hartley (Other),"Bedford Hills, NY","35 Norm Ave, Bedford Hills, NY 10507",We Transport(6); We Transport Inc(3); We Transport LLC(1),,,0,A,1
HORIZON COACH LINES,Horizon Coach Lines,10,mid(6-14),7,"CA,CO,FL,MD,NV,OR,WA",CA,509,63947000,0,0,1947,0,0,1,,Coachusa.Com,(661) 863-0142,Dave Dwight (Manager),"Bakersfield, CA","1800 Golden State Ave, Bakersfield, CA 93301",Horizon Coach Lines(10),,,0,B+,1
EASTON COACH,Easton Coach Co,10,mid(6-14),2,"PA,NJ",PA,726,45163000,0,0,1984,0,1,1,,Eastoncoach.Com,(908) 237-3954,Joe Scott (CEO),"Flemington, NJ","314 State Route 12, Flemington, NJ 08822",Easton Coach Co(9); Easton Coach(1),,,0,B,1
STUDENT TRANSPORTATION,Student Transportation,10,mid(6-14),6,"OR,NJ,PA,CT,NH,VA",OR,250,25537000,0,0,1970,1,0,0,,Ridesta.Com,(860) 443-3313,Howard Anderson Jr (Owner),"Waterford, CT","20 Rope Ferry Rd, Waterford, CT 06385",Student Transportation(9); Student Transportation Inc(1),,,0,C+,1
KINCAID COACH LINES,Kincaid Coach Lines Inc,10,mid(6-14),4,"OK,NE,KS,TX",OK,129,11610000,0,0,,0,0,1,,Govillagetravel.Com,Not Available,Bohn Dale (Manager),"Shawnee, KS","23889 W 40th St, Shawnee, KS 66226",Kincaid Coach Lines Inc(5); Kincaid Coach Lines(5),,,0,A,1
LAMERS BUS LINES,Lamers Bus Lines Inc,9,mid(6-14),2,"WI,FL",WI,438,40225000,2263,48824000,1944,0,0,1,LAMERS BUS LINES,Golamers.Com,(352) 315-8687,Dennis Scimka (Manager),"Fruitland Park, FL","2317 US Highway 441, Fruitland Park, FL 34731",Lamers Bus Lines Inc(5); Lamers Bus Lines(2); Lamer's Bus Line(1); Lamers Tour & Travel(1),,,0,B+,1
W ROENIGK,W L Roenigk Inc,9,mid(6-14),1,PA,PA,746,35099000,1686,34946000,1945,1,0,1,W L ROENIGK INC,Wlroenigk.Com,(724) 443-5355,Nicole Snyder (Manager),"New Kensington, PA","4001 Greenwood Rd, New Kensington, PA 15068",W L Roenigk Inc(7); W L Roenigk Valencia Branch(1); WL Roenigk(1),,,0,A,1
MONROE SCHOOL TRANSPORTATION,Monroe School Transportation,9,mid(6-14),7,"NC,NY,AL,CT,IL,NJ,WA",NC,413,17423000,0,0,1985,1,0,0,,Speedhost.Com,Not Available,David Binachi (Vice President),"Valley, AL","3205 20th Ave, Valley, AL 36854",Monroe School Transportation(8); Monroe School Trnsprtn Inc(1),,,0,A+,1
WINDSTAR LINES,Windstar Lines Inc,9,mid(6-14),4,"IA,NE,NV,SD",IA,198,16383000,0,0,1995,0,0,1,,Gowindstar.Com,(563) 588-2330,Jeff Kress (Manager),"Dubuque, IA","10608 Jet Center Dr, Dubuque, IA 52003",Windstar Lines Inc(5); Windstar Lines(4),,,0,A+,1
LANDMARK STUDENT TRANSPORTATION,Landmark Student Trnsprtn,9,mid(6-14),5,"CT,FL,OH,KS,NY",CT,256,15066000,0,0,,1,0,1,,Landmarkbus.Com,Not Available,Janice Lahti (CEO),"Derby, CT","10 North Ave, Derby, CT 06418",Landmark Student Trnsprtn(9),,,0,A+,1
HOLIDAY TOURS,Holiday Tours,9,mid(6-14),5,"NC,MO,NY,GA,NJ",NC,148,13375000,0,0,1957,0,0,1,,Holidaytoursinc.Com,(404) 214-2226,Sammy Neal (Manager),"Marietta, GA","450 Cobb Pkwy N, Marietta, GA 30062",Holiday Tours(7); Holiday Tours Inc(2),,,0,A,1
CHARTER BUS SERVICE,Charter Bus Svc,9,mid(6-14),8,"CA,CT,MO,OH,PA,VA,WI,WV",CA,140,12627000,0,0,1956,0,0,1,,,(530) 343-1047,Loyd Dodson (Owner),"Chico, CA","3 Sandra Cir, Chico, CA 95926",Charter Bus Svc(8); Charter Bus Svc Co Inc(1),,,0,B,1
PARTY BUS,Party Bus,9,mid(6-14),8,"MN,CA,DE,IA,IL,KS,LA,WI",MN,79,7827000,0,0,1993,0,0,1,,Partybus916.Com,(916) 446-2252,Tom Martyin (Finance Exec),"Rancho Cordova, CA","3160 Gold Valley Dr # 505, Rancho Cordova, CA 95742",Party Bus(7); Party Bus Co LLC(1); Party Bus LLC(1),,,0,A,1
HARLOW S SCHOOL BUS SERVICE,Harlow's School Bus Svc,9,mid(6-14),4,"SD,MT,ND,ID",SD,101,4634000,0,0,1971,1,0,1,,Harlowsschoolbus.Com,(208) 462-5085,Jacob Iverson (Vice President),"Garden Valley, ID","1069 Banks Lowman Rd, Garden Valley, ID 83622",Harlow's School Bus Svc(6); Harlow's School Bus Svc Inc(3),,,0,A,1
TURIMEX,Turimex LLC,9,mid(6-14),1,TX,TX,39,3750000,0,0,2002,0,0,1,,Rangel.Com,(830) 757-6800,Luis Nolisco (Manager),"Eagle Pass, TX","140 N Adams St, Eagle Pass, TX 78852",Turimex LLC(9),,,0,B+,1
TBL GROUP,ECHO Transportation,8,mid(6-14),3,"TX,FL,WY",TX,2117,201270000,401,107530000,1980,0,0,1,TBL GROUP INC,Echotransportation.Com,(904) 631-5466,John Ferrari (Owner),,,ECHO Transportation(6); AFC Transportation(2),,,0,B+,1
NRT BUS,North Reading Transportation,8,mid(6-14),1,MA,MA,626,27331000,2197,48681000,,1,0,0,NRT BUS INC,Nrtbus.Com,(978) 323-0101,John Mccarthy (Owner),"North Reading, MA","230 Main St, North Reading, MA 01864",North Reading Transportation(4); NRT Bus(2); NRT Bus Inc(2),,,0,A+,1
JOHNSON SCHOOL BUS SERVICE,Johnson School Bus Svc,8,mid(6-14),2,"WI,CA",WI,400,20820000,0,0,1941,1,0,1,,Avivastanoff.Com,Not Available,Bruce Manderscheid (Manager),"Vista, CA","2387 LA Mirada Dr, Vista, CA 92081",Johnson School Bus Svc(4); Johnson School Bus Svc Inc(4),,,0,A+,1
STUDENT TRANSPORTATION AMERICA,Student Transportation-America,8,mid(6-14),3,"CA,NJ,NH",CA,242,19463000,0,0,2003,1,0,1,,Ridesta.Com,(805) 686-8805,Richard Warner (Vice President),"Buellton, CA","70 Industrial Way, Buellton, CA 93427",Student Transportation-America(8),national-platform,,0,A,0
EASTERN BUS,Eastern Bus Co,8,mid(6-14),1,MA,MA,226,18405000,0,0,,1,0,1,,Flixbus.Com,(617) 244-0015,Carmen Alicea (Manager),"Newton, MA","200 Webster St, Newton, MA 02465",Eastern Bus Co(5); Eastern Bus Co Inc(3),,,0,A,1
A J MYERS SONS,A J Myers & Sons Inc,8,mid(6-14),1,PA,PA,478,17788000,360,23015000,1950,1,0,1,A J MYERS & SONS INC,Ajmyersandsons.Net,(724) 625-2032,Kurt Lorenz (Manager),"Kittanning, PA","13413 State Route 422, Kittanning, PA 16201",A J Myers & Sons Inc(2); A J Myers & Sons(1); Export Terminal(1); Latrobe Terminal(1),,,0,B+,1
GO RITEWAY TRANSPORTATION GROUP,Riteway Bus Svc,8,mid(6-14),3,"WI,IN,MI",WI,315,13184000,44,27246000,1923,1,0,1,GO RITEWAY TRNSPRTN GROUP,Cardinalbuses.Com,(574) 252-0610,Alexis Brooks (Operations),"Random Lake, WI","720 Wolf Rd, Random Lake, WI 53075",Riteway Bus Svc(3); Cardinal Buses(2); Cardinal Buses Inc(1); Go Riteway Trnsprtn Group(1),,,0,A,1
BIRNIE BUS SERVICE,Birnie Bus Svc Inc,8,mid(6-14),2,"NY,FL",NY,257,10109000,0,0,,1,0,0,,Birniebus.Com,Not Available,,"Fort Lauderdale, FL","1724 Middle River Dr, Fort Lauderdale, FL 33305",Birnie Bus Svc Inc(8),,,0,A+,1
EXECUTIVE COACH,Executive Coach,8,mid(6-14),5,"TX,PA,CA,IL,LA",TX,90,8082000,0,0,1979,0,0,1,,Executivecoach.Net,(626) 574-1388,Sally Wong (President),"Temple City, CA","5917 Oak Ave, Temple City, CA 91780",Executive Coach(5); Executive Coach Inc(3),,,0,B+,1
