rank,score,canonical_name,primary_state,hq,size_tier,locations,employees,revenue_est,year_established,school,special_needs,website,phone,lead_exec,credit_score,data_confidence,rationale,sample_address,_sf,_su,_ql,_ind,_rel
1,98.5,Northstar Bus Lines LLC,MN,"Maple Grove, MN",single,1,200,10161000,1962,1,0,Northstarbuslines.Com,(763) 425-2542,Matt Regan (Owner),A+,1.0,200 emp; $10.2M rev; est 1962 (64y); single; web+phone; school,"11800 95th Ave N, Maple Grove, MN 55369",100,100,100,100,90
18,98.5,Cloquet Transit Co,MN,"Cloquet, MN",single,1,50,1691000,1973,1,0,Cloquettransit.Com,(218) 879-1291,Jeff Lane (CEO),A+,1.0,50 emp; $1.7M rev; est 1973 (53y); single; web+phone; school,"1203 Avenue B, Cloquet, MN 55720",100,100,100,100,90
19,98.5,Fort Wayne Cmnty Sch Trnsprtn,IN,"Fort Wayne, IN",single,1,43,1679000,1857,1,0,Fortwayneschools.Org,(260) 467-1900,Sue Cash (Manager),A+,1.0,43 emp; $1.7M rev; est 1857 (169y); single; web+phone; school,"301 W Cook Rd, Fort Wayne, IN 46825",100,100,100,100,90
20,98.5,Wolfe Co Bus Terminal,KY,"Campton, KY",single,1,40,1678000,1970,1,0,Wolfe.Kyschools.Us,(606) 668-8401,Jennifer Spencer (Chairman),A,1.0,40 emp; $1.7M rev; est 1970 (56y); single; web+phone; school,"85 Elkins Rd, Campton, KY 41301",100,100,100,100,90
21,98.5,Lower Pioneer Vly Educational,MA,"Ludlow, MA",single,1,40,1521000,1985,1,0,Lpvec.Org,(413) 583-6738,Charles Crowe (Manager),A+,1.0,40 emp; $1.5M rev; est 1985 (41y); single; web+phone; school,"20 Carmelinas Cir, Ludlow, MA 01056",100,100,100,100,90
22,98.5,Lincoln Coach Lines,PA,"Hanover, PA",single,1,30,1109000,1947,1,0,Lincolnbus.Co.Uk,(717) 637-7104,Sharon Eden (Manager),A+,1.0,30 emp; $1.1M rev; est 1947 (79y); single; web+phone; school,"340 Poplar St, Hanover, PA 17331",100,100,100,100,90
23,98.5,Watson,PA,"New Wilmington, PA",single,1,25,1049000,1939,1,0,Watson-Inc.Com,(724) 946-8555,Keri Mcgary (Manager),A+,1.0,25 emp; $1.0M rev; est 1939 (87y); single; web+phone; school,"3132 State Route 208, New Wilmington, PA 16142",100,100,100,100,90
24,96.5,Harvey School,NY,"Katonah, NY",single,1,45,0,1916,1,0,Harveyschool.Org,(914) 232-3161,Robert Cook (Director),I,0.75,45 emp; rev n/a; est 1916 (110y); single; web+phone; school,"260 Jay St, Katonah, NY 10536",100,100,90,100,90
25,96.5,Hoff-Barthelson Music School,NY,"Scarsdale, NY",single,1,80,0,1943,1,0,Hbms.Org,(914) 723-1169,Ken Cole (Exec Director),B+,0.75,80 emp; rev n/a; est 1943 (83y); single; web+phone; school,"25 School Ln # 1, Scarsdale, NY 10583",100,100,90,100,90
26,96.5,Music School Of Westchester,NY,"Larchmont, NY",single,1,35,0,1981,1,0,Musicschoolofwestchester.Com,(914) 630-4420,Gabriel Jodorkovsky (Educator),B+,0.75,35 emp; rev n/a; est 1981 (45y); single; web+phone; school,"1328 Boston Post Rd, Larchmont, NY 10538",100,100,90,100,90
27,96.5,New York School For The Deaf,NY,"White Plains, NY",single,1,156,0,1817,1,0,Nysd.Net,(914) 949-7310,Janet Dickinson (Administrator),I,0.75,156 emp; rev n/a; est 1817 (209y); single; web+phone; school,"555 Knollwood Rd, White Plains, NY 10603",100,100,90,100,90
28,96.2,Paratransit Inc,CA,,single,1,250,17532000,1978,0,1,Paratransit.Org,(916) 429-2009,Tiffany Fink (CEO),A,1.0,250 emp; $17.5M rev; est 1978 (48y); single; web+phone; special-needs,,100,100,100,100,75
29,96.2,Hulmes Transportation Svc LTD,MA,"Belchertown, MA",single,1,210,13254000,1976,0,1,Hulmestransportation.Com,(413) 323-6100,Paul Anziano (Owner),A,1.0,210 emp; $13.3M rev; est 1976 (50y); single; web+phone; special-needs,"15 Bridge St, Belchertown, MA 01007",100,100,100,100,75
30,96.2,Access Springfield,IL,"Springfield, IL",single,1,100,8067000,1968,0,1,Smtd.Org,(217) 522-8594,Steve Schoeffel (Director),A,1.0,100 emp; $8.1M rev; est 1968 (58y); single; web+phone; special-needs,"928 S 9th St, Springfield, IL 62703",100,100,100,100,75
31,96.2,Literacy Instruction For Texas,TX,"El Paso, TX",single,1,100,6972000,1961,0,1,Lift-Texas.Org,(915) 544-2514,Rene Pokrzywinski (Manager),A,1.0,100 emp; $7.0M rev; est 1961 (65y); single; web+phone; special-needs,"5081 Fred Wilson Ave, El Paso, TX 79906",100,100,100,100,75
32,96.2,Transportation Resources Inc,OH,"Columbus, OH",single,1,80,5059000,1980,0,1,Rentalcarsnear.Me,(614) 253-7948,James Herron (CEO),A,1.0,80 emp; $5.1M rev; est 1980 (46y); single; web+phone; special-needs,"1120 Rarig Ave, Columbus, OH 43219",100,100,100,100,75
33,96.2,Woodburn Ambulance Svc Inc,OR,"Woodburn, OR",single,1,60,3591000,1986,0,1,Woodburnambulance.Com,(503) 982-4699,Shawn Baird (President),A,1.0,60 emp; $3.6M rev; est 1986 (40y); single; web+phone; special-needs,"1040 N Boones Ferry Rd, Woodburn, OR 97071",100,100,100,100,75
34,96.2,Swartz Ambulance Svc Inc,MI,"Flint, MI",single,1,54,3176000,1975,0,1,Swartzambulance.Com,(810) 239-6109,Jeffrey Lewis (COO),B+,1.0,54 emp; $3.2M rev; est 1975 (51y); single; web+phone; special-needs,"1225 W Hill Rd # B, Flint, MI 48507",100,100,100,100,75
35,96.2,Nor Recreation & Park District,CA,"Bakersfield, CA",single,1,30,2326000,1970,0,1,Norfun.Org,(661) 392-2035,,B+,1.0,30 emp; $2.3M rev; est 1970 (56y); single; web+phone; special-needs,"222 Minner Ave, Bakersfield, CA 93308",100,100,100,100,75
36,96.2,Northampton Regional Emergency,PA,"Northampton, PA",single,1,40,2268000,1928,0,1,Nrems.Org,(610) 262-0800,Eric S Wescoe (Exec Director),A,1.0,40 emp; $2.3M rev; est 1928 (98y); single; web+phone; special-needs,"1525 Canal St, Northampton, PA 18067",100,100,100,100,75
37,96.2,Resources For Seniors,NC,"Raleigh, NC",single,1,32,2205000,1972,0,1,Resourcesforseniors.Org,(919) 872-7933,Kristen Brannock (President),A,1.0,32 emp; $2.2M rev; est 1972 (54y); single; web+phone; special-needs,"1110 Navaho Dr # 4, Raleigh, NC 27609",100,100,100,100,75
38,96.2,Fairfield Center For Indpndnc,OH,"Lancaster, OH",single,1,31,1812000,1954,0,1,Fairfieldci.Com,(740) 652-6376,Edwin Payne (Exec Director),A,1.0,31 emp; $1.8M rev; est 1954 (72y); single; web+phone; special-needs,"681 E 6th Ave, Lancaster, OH 43130",100,100,100,100,75
39,96.2,Central Huron Ambulance Svc,MI,"Bad Axe, MI",single,1,34,1763000,1973,0,1,Centralhuronambulance.Com,(989) 269-7572,Della Pratt (Chairman),B+,1.0,34 emp; $1.8M rev; est 1973 (53y); single; web+phone; special-needs,"291 E Soper Rd, Bad Axe, MI 48413",100,100,100,100,75
40,96.2,Lift-Aids,TX,"Euless, TX",single,1,20,1477000,1967,0,1,Lift-Aids.Com,(817) 835-0035,Connie L Stauffer (President),A,1.0,20 emp; $1.5M rev; est 1967 (59y); single; web+phone; special-needs,"1500 Westpark Way, Euless, TX 76040",100,100,100,100,75
41,96.2,Transit Plus,WI,"Milwaukee, WI",single,1,20,1378000,1860,0,1,Ridemcts.Com,(414) 343-1700,,A,1.0,20 emp; $1.4M rev; est 1860 (166y); single; web+phone; special-needs,"1942 N 17th St, Milwaukee, WI 53205",100,100,100,100,75
42,96.2,Rock Island County Senior Ctr,IL,"Rock Island, IL",single,1,20,1355000,1967,0,1,Projectnow.Org,(309) 788-6335,Michelle Dyer (Director),B+,1.0,20 emp; $1.4M rev; est 1967 (59y); single; web+phone; special-needs,"2221 11th St, Rock Island, IL 61201",100,100,100,100,75
43,96.2,Condo Pharmacy Ltc,NY,"Plattsburgh, NY",single,1,20,1355000,1939,0,1,Condopharmacy.Com,(518) 563-3400,Jean Moore (President),A,1.0,20 emp; $1.4M rev; est 1939 (87y); single; web+phone; special-needs,"28 Montcalm Ave, Plattsburgh, NY 12901",100,100,100,100,75
44,96.2,Bowers Ambulance,SC,"Easley, SC",single,1,20,1279000,1986,0,1,Bowersems.Com,(864) 269-7888,Randy Bowers (Owner),A,1.0,20 emp; $1.3M rev; est 1986 (40y); single; web+phone; special-needs,"107 David St, Easley, SC 29640",100,100,100,100,75
45,96.2,Handi-Wheels Transportation,ND,"Fargo, ND",single,1,20,1118000,1974,0,1,Handi-Wheels.Org,(701) 232-3231,Tonna Horsley (Finance Exec),B+,1.0,20 emp; $1.1M rev; est 1974 (52y); single; web+phone; special-needs,"2525 Broadway N # 2, Fargo, ND 58102",100,100,100,100,75
46,96.2,Aroostook Regional Trnsprtn,ME,"Presque Isle, ME",single,1,20,1059000,1979,0,1,Aroostooktransportation.Org,(207) 764-1290,Daniel Donovan (Exec Director),A,1.0,20 emp; $1.1M rev; est 1979 (47y); single; web+phone; special-needs,"24 Houlton Rd, Presque Isle, ME 04769",100,100,100,100,75
47,96.2,Wesley Wheels Transportation,IA,"Des Moines, IA",single,1,18,1047000,1947,0,1,Wesleylife.Org,(515) 271-6868,Brett Peterson (Director),B+,1.0,18 emp; $1.0M rev; est 1947 (79y); single; web+phone; special-needs,"944 18th St, Des Moines, IA 50314",100,100,100,100,75
48,95.5,H & L Bloom,MA,"Attleboro, MA",small(2-5),2,286,17869000,1945,1,0,Bloombus.Com,(508) 455-1329,Mark Bloom (President),A,1.0,286 emp; $17.9M rev; est 1945 (81y); small(2-5); web+phone; school,"676 Pleasant St, Attleboro, MA 02703",100,100,100,80,90
49,95.5,I C Bus LLC,AR,"Conway, AR",small(2-5),2,255,17154000,1979,1,0,Islandcharter.Com,Not Available,Walter Borst (Manager),B+,1.0,255 emp; $17.2M rev; est 1979 (47y); small(2-5); web+phone; school,"751 S Harkrider, Conway, AR 72035",100,100,100,80,90
50,95.5,George Dapper Inc,NJ,"Keasbey, NJ",small(2-5),2,220,13878000,1946,1,0,Dapperbus.Com,(732) 661-1620,George I Dapper (President),A+,1.0,220 emp; $13.9M rev; est 1946 (80y); small(2-5); web+phone; school,"999 Riverside Dr, Keasbey, NJ 08832",100,100,100,80,90
51,95.5,Transportation Services,FL,"Bartow, FL",small(2-5),3,194,12598000,1964,1,0,Polkschoolsfl.Com,(863) 534-7300,Rob Davis (Manager),A+,1.0,194 emp; $12.6M rev; est 1964 (62y); small(2-5); web+phone; school,"1430 State Road 60 E, Bartow, FL 33830",100,100,100,80,90
52,95.5,Consolidated Bus Transit,NY,"Bronx, NY",small(2-5),2,66,12103000,1980,1,0,Consolidatedbustransit.Com,(718) 823-6927,Agnes Wroblewska (Controller),B+,1.0,66 emp; $12.1M rev; est 1980 (46y); small(2-5); web+phone; school,"Hermany Ave, Bronx, NY 10461",100,100,100,80,90
53,95.5,Barker Bus Co,NJ,"Bound Brook, NJ",small(2-5),2,226,12102000,1954,1,0,Barkerbus.Com,(732) 302-0696,Sondra Oberberger (Office Manager),A+,1.0,226 emp; $12.1M rev; est 1954 (72y); small(2-5); web+phone; school,"1400 US Highway 22, Bound Brook, NJ 08805",100,100,100,80,90
54,95.5,Logan Bus Co Inc,NY,"Ozone Park, NY",single,1,300,11998000,1991,1,0,Loganbus.Com,(718) 641-6417,Richard Logan (Owner),A+,1.0,300 emp; $12.0M rev; est 1991 (35y); single; web+phone; school,"9714 Atlantic Ave, Ozone Park, NY 11416",100,85,100,100,90
55,95.5,Belair Transport Inc,NJ,"Orange, NJ",single,1,200,10315000,1997,1,0,Belairtransport.Com,(973) 676-3131,Michael Grassini Jr (Owner),A+,1.0,200 emp; $10.3M rev; est 1997 (29y); single; web+phone; school,"641 Tremont Ave, Orange, NJ 07050",100,85,100,100,90
56,95.5,Vocell Bus Co,MA,"Malden, MA",small(2-5),3,121,9312000,1909,1,0,Vocell.Com,(781) 324-1329,Barb Goodman (CEO),A,1.0,121 emp; $9.3M rev; est 1909 (117y); small(2-5); web+phone; school,"378 Commercial St, Malden, MA 02148",100,100,100,80,90
57,95.5,Huntington Coach Corp,NY,"Huntington, NY",small(2-5),3,125,6101000,1926,1,0,Huntingtoncoach.Com,(631) 271-8931,Brendan Clifford (Vice President),A,1.0,125 emp; $6.1M rev; est 1926 (100y); small(2-5); web+phone; school,"1359 New York Ave, Huntington, NY 11743",100,100,100,80,90
58,95.5,Lucini Bus Lines,MA,"Bridgewater, MA",small(2-5),2,149,5833000,1959,1,0,Lucinitransportation.Com,(508) 807-0658,William Lucini (Owner),A+,1.0,149 emp; $5.8M rev; est 1959 (67y); small(2-5); web+phone; school,"1000 Main St, Bridgewater, MA 02324",100,100,100,80,90
59,95.5,Total Transportation Corp,NY,"Bronx, NY",small(2-5),2,148,5788000,1979,1,0,Totalbusco.Com,(718) 257-2082,Lorna Richardson (Manager),A+,1.0,148 emp; $5.8M rev; est 1979 (47y); small(2-5); web+phone; school,"905 Brush Ave, Bronx, NY 10465",100,100,100,80,90
60,95.5,Pickens County Transportation,AL,"Carrollton, AL",small(2-5),2,135,5663000,1957,1,0,Pickenscountyschools.Net,(205) 367-8244,Patrick Cyles (Manager),A+,1.0,135 emp; $5.7M rev; est 1957 (69y); small(2-5); web+phone; school,"377 Ladow Center Cir, Carrollton, AL 35447",100,100,100,80,90
61,95.5,Cyr Bus Line,ME,"Bangor, ME",small(2-5),3,115,5588000,1911,1,0,Johntcyrandsons.Com,(207) 942-3354,Joe Cyr (Owner),A+,1.0,115 emp; $5.6M rev; est 1911 (115y); small(2-5); web+phone; school,"1246 Ohio St, Bangor, ME 04401",100,100,100,80,90
62,95.5,Canyon State Bus Sales Inc,AZ,"Glendale, AZ",small(2-5),5,122,5552000,1957,1,0,Canyonstatebus.Com,(602) 230-1515,John Barrington (General Mgr),A+,1.0,122 emp; $5.6M rev; est 1957 (69y); small(2-5); web+phone; school,"5600 W Claremont St, Glendale, AZ 85301",100,100,100,80,90
63,95.5,B G Transportation,NJ,"Passaic, NJ",small(2-5),2,54,4790000,1981,1,0,Bgtrans.Biz,(973) 365-2616,Bertha Garcia (Owner),B+,1.0,54 emp; $4.8M rev; est 1981 (45y); small(2-5); web+phone; school,"237 Boulevard, Passaic, NJ 07055",100,100,100,80,90
64,95.5,Laurel Automotive,NJ,"Southampton, NJ",single,1,100,4671000,1990,1,0,Laurelautomotiveinc.Com,(609) 261-9299,Karen Dellinger (Owner),A+,1.0,100 emp; $4.7M rev; est 1990 (36y); single; web+phone; school,"117 Route 530, Southampton, NJ 08088",100,85,100,100,90
65,95.5,Southwest Transportation Agcy,CA,"Caruthers, CA",single,1,110,4615000,1987,1,0,Southwestjpa.Org,(559) 644-1000,Tony Mendes (Director),A+,1.0,110 emp; $4.6M rev; est 1987 (39y); single; web+phone; school,"16644 S Elm Ave, Caruthers, CA 93609",100,85,100,100,90
66,95.5,Jefferson Co Public Transport,CO,"Denver, CO",single,1,100,4104000,1997,1,0,Jeffcopublicschools.Org,(303) 982-9057,,A+,1.0,100 emp; $4.1M rev; est 1997 (29y); single; web+phone; school,"3704 S Kipling St, Denver, CO 80235",100,85,100,100,90
67,95.5,Carrier Coach Inc,NY,"Buffalo, NY",small(2-5),3,61,3888000,1973,1,0,Carriercoach.Com,Not Available,Alan Miller (Owner),A+,1.0,61 emp; $3.9M rev; est 1973 (53y); small(2-5); web+phone; school,"3999 Lake Shore Rd # 1, Buffalo, NY 14219",100,100,100,80,90
68,95.5,Royal Coach Lines,NY,"Elmsford, NY",small(2-5),3,49,3606000,1950,1,0,Royalcoachlines.Com,(914) 365-1890,Rosa Ibacache (Operations),A,1.0,49 emp; $3.6M rev; est 1950 (76y); small(2-5); web+phone; school,"2260 Saw Mill River Rd, Elmsford, NY 10523",100,100,100,80,90
69,95.5,Jefferson County Pubc Sch-Bus,CO,"Evergreen, CO",single,1,85,3489000,1997,1,0,Wilmot.Jeffcopublicschools.Org,(303) 982-5215,Josie Gallagher (Director),A+,1.0,85 emp; $3.5M rev; est 1997 (29y); single; web+phone; school,"7000 Highway 73, Evergreen, CO 80439",100,85,100,100,90
70,95.5,F & S Transportation,PA,"Manchester, PA",small(2-5),3,60,3420000,1975,1,0,Hr31480.Wixsite.Com,(717) 737-5626,Lea Newcomer (Owner),A,1.0,60 emp; $3.4M rev; est 1975 (51y); small(2-5); web+phone; school,"37 S Main St, Manchester, PA 17345",100,100,100,80,90
71,95.5,Superior Bus Svc,MI,"Sault Sainte Marie, MI",small(2-5),2,52,3332000,1981,1,0,Superiorbusservice.Com,Not Available,Meghan Smyth (Owner),A,1.0,52 emp; $3.3M rev; est 1981 (45y); small(2-5); web+phone; school,"1827 Oak St, Sault Sainte Marie, MI 49783",100,100,100,80,90
72,95.5,American School Bus Co,IL,"Frankfort, IL",small(2-5),2,60,3188000,1957,1,0,Cookillinois.Com,(708) 895-6749,Cindy Lambrakis (Manager),A,1.0,60 emp; $3.2M rev; est 1957 (69y); small(2-5); web+phone; school,"10101 W Laraway Rd, Frankfort, IL 60423",100,100,100,80,90
73,95.5,Centralia Pupil Trnsprtn Co-Op,WA,"Centralia, WA",single,1,75,3146000,1999,1,0,Centraliaschooldistrict.Org,(360) 330-7628,Gibb Kingsley (Director),A+,1.0,75 emp; $3.1M rev; est 1999 (27y); single; web+phone; school,"2320 Borst Ave, Centralia, WA 98531",100,85,100,100,90
74,95.5,Lizak Bus Svc Inc,MA,"Warren, MA",small(2-5),2,52,3038000,1938,1,0,Lizakbus.Com,(800) 357-7788,John Lizak (Owner),A,1.0,52 emp; $3.0M rev; est 1938 (88y); small(2-5); web+phone; school,"1301 Main St, Warren, MA 01083",100,100,100,80,90
75,95.5,B R Williams Inc,NJ,"Penns Grove, NJ",small(2-5),2,60,2995000,1934,1,0,Brwilliamsinc.Com,(856) 299-1400,Bill Williams (Owner),B+,1.0,60 emp; $3.0M rev; est 1934 (92y); small(2-5); web+phone; school,"125 Railroad Ave, Penns Grove, NJ 08069",100,100,100,80,90
76,95.5,Randall Bus Svc,FL,"Jacksonville, FL",small(2-5),3,40,2805000,1970,1,0,Randalltransportation.Com,(904) 683-6024,Sherman Randall (President),B,1.0,40 emp; $2.8M rev; est 1970 (56y); small(2-5); web+phone; school,"1229 Lane Cir E, Jacksonville, FL 32254",100,100,100,80,90
77,95.5,Raphael Irvin Inc,NJ,"East Brunswick, NJ",small(2-5),2,55,2733000,1919,1,0,Raphaelbus.Com,(732) 251-2447,Eric Raphael (President),A+,1.0,55 emp; $2.7M rev; est 1919 (107y); small(2-5); web+phone; school,"550 Old Stage Rd, East Brunswick, NJ 08816",100,100,100,80,90
78,95.5,GST Transport,NJ,"Freehold, NJ",small(2-5),2,50,2456000,1968,1,0,Gst.Com,(732) 252-9020,Joe Giordano (Manager),A+,1.0,50 emp; $2.5M rev; est 1968 (58y); small(2-5); web+phone; school,"98 Crow Hill Rd, Freehold, NJ 07728",100,100,100,80,90
79,95.5,Twincity Transportation,MN,"Mendota Heights, MN",single,1,50,2173000,1988,1,0,Twincitytransport.Com,(952) 884-6824,Tom Reise (Owner),A+,1.0,50 emp; $2.2M rev; est 1988 (38y); single; web+phone; school,"1408 Northland Dr # 32, Mendota Heights, MN 55120",100,85,100,100,90
80,95.5,Kearsley Transportation,MI,"Flint, MI",single,1,40,1698000,2001,1,0,Kearsley.K12.Mi.Us,(810) 591-9816,Jeff Morgan (Sales Exec),A,1.0,40 emp; $1.7M rev; est 2001 (25y); single; web+phone; school,"4396 Underhill Dr, Flint, MI 48506",100,85,100,100,90
81,95.5,Cobleskill-Richmondville,NY,"Cobleskill, NY",single,1,40,1678000,1993,1,0,Crcsd.Org,(518) 234-7491,Shane Hays (Director),A+,1.0,40 emp; $1.7M rev; est 1993 (33y); single; web+phone; school,"284 Elm St, Cobleskill, NY 12043",100,85,100,100,90
82,95.5,Mt Horeb Area Dist Bus Grge,WI,"Mount Horeb, WI",single,1,32,1445000,1998,1,0,Mhasd.K12.Wi.Us,(608) 437-2400,Brian Toth (Manager),A+,1.0,32 emp; $1.4M rev; est 1998 (28y); single; web+phone; school,"421 W Garfield St, Mount Horeb, WI 53572",100,85,100,100,90
83,95.5,Harlow's Bus Svc,MT,"Kalispell, MT",small(2-5),2,32,1315000,1971,1,0,Harlowsbussales.Com,(406) 755-4272,Sandy Evenson (Manager),A+,1.0,32 emp; $1.3M rev; est 1971 (55y); small(2-5); web+phone; school,"1939 1/2 MT Highway 35, Kalispell, MT 59901",100,100,100,80,90
84,95.5,Southwinds School Activity Svc,CA,"Sun Valley, CA",single,1,25,1253000,2001,1,0,Swbuses.Com,(818) 504-1100,Leslie Schimel (Manager),A+,1.0,25 emp; $1.3M rev; est 2001 (25y); single; web+phone; school,"9303 Sunland Blvd, Sun Valley, CA 91352",100,85,100,100,90
85,95.5,Southwest Bus Svc Inc,WI,"La Crosse, WI",small(2-5),3,25,1058000,1982,1,0,Southwestbus.Net,(800) 796-7961,Lucille Boxrucker (President),B+,1.0,25 emp; $1.1M rev; est 1982 (44y); small(2-5); web+phone; school,"1720 S 11th St, La Crosse, WI 54601",100,100,100,80,90
86,95.5,Highpoint Baptist Church,AL,"Eight Mile, AL",single,1,25,1049000,1991,1,0,Highpointbc.Org,(251) 452-4601,Charlie E York (Religious Dir),A+,1.0,25 emp; $1.0M rev; est 1991 (35y); single; web+phone; school,"2421 Lott Rd, Eight Mile, AL 36613",100,85,100,100,90
87,93.2,Safeway Transportation,MI,"Hamtramck, MI",small(2-5),5,116,11315000,1975,0,1,Safewaytransportation.Com,(313) 892-1350,Patricia Whitlow (President),A,1.0,116 emp; $11.3M rev; est 1975 (51y); small(2-5); web+phone; special-needs,"13469 Conant St, Hamtramck, MI 48212",100,100,100,80,75
88,93.2,Community Ambulance Svc,OH,"Zanesville, OH",single,1,140,10834000,1994,0,1,Genesishcs.Org,(740) 454-6800,Matt Perry (CEO),A,1.0,140 emp; $10.8M rev; est 1994 (32y); single; web+phone; special-needs,"952 Linden Ave, Zanesville, OH 43701",100,85,100,100,75
89,93.2,Aetna Ambulance Svc Inc,CT,"Hartford, CT",small(2-5),2,138,9612000,1945,0,1,Asm-Aetna.Com,(860) 247-6792,Kimberly Aroh (CEO),B+,1.0,138 emp; $9.6M rev; est 1945 (81y); small(2-5); web+phone; special-needs,"140 Van Block Ave # 1, Hartford, CT 06106",100,100,100,80,75
