rank,name,state,ownership_type,owner_or_parent,principals,succession_signal,founded_year,fleet_size_est,employees_est,service_types,districts_or_customers,recent_news,website,confidence,fit_notes
18,Northstar Bus Lines LLC,MN,family-owned,independent (Regan family); operates affiliated brand American Student Transportation,"[""Matthew (Matt) Regan (President/Owner)""]",low,1963,~80-120 buses across Maple Grove and Blaine terminals (includes 3 electric school buses from Osseo pilot),~200 (per source list),"[""school"", ""charter"", ""SPED"", ""electric school bus pilot""]","[""Osseo Area Schools (electric bus pilot, 2022-2024)"", ""Robbinsdale Area Schools District 281"", ""Brooklyn Center Area Schools 286"", ""North Hennepin Intermediate District 287"", ""Mounds View Public Schools District 621"", ""Maple Grove / North Metro / Blaine area churches and community charters""]",Participated in MN electric school bus pilot with Osseo School District; Matt Regan installed 5 EV charging stations at Maple Grove garage. 2020 Traffic Safety Innovation Award; 2022 Best of Blaine. Brand affiliated with American Student Transportation (Blaine).,https://www.northstarbuslines.com/,high,"Strong tuck-in candidate: ~$10M revenue, family-owned, third generation, multiple Twin Cities suburban district contracts, EV-forward (de-risks future contract bids), two terminals provide route density. Matt Regan still relatively young so succession is medium/low, but Summit could position as a growth partner. Note: distinct from the unrelated Patrick O. Regan/Minnesota Coaches group recently sold to Tiger Infrastructure Partners — diligence should confirm no family/operational ties."
19,Voigt's Bus,MN,family-owned,"independent (Voigt family, 3rd/4th generation)","[""Lance Voigt (President, 3rd gen)"", ""Lea (Voigt) McStott (HR, 3rd gen co-owner)"", ""Voigt-Ely (4th gen co-owner/stockholder)"", ""Tom (Troy) Voigt \u2014 prior president, deceased 2022"", ""Darwin 'Butch' Voigt \u2014 2nd gen, retired 2005""]",medium,1947,>100 buses,~225,"[""school"", ""charter"", ""tour/motorcoach"", ""shuttle"", ""body shop"", ""travel planning""]","[""Anoka-Hennepin School District (largest district in MN) \u2014 multiple routes"", ""Cold Spring area schools (since 1947)"", ""St. Cloud area schools"", ""Multi-region MN charter and event clients""]",Troy Voigt (then-president) passed away in 2022; leadership transitioned to brother Lance Voigt and sister Lea McStott with niece Voigt-Ely joining as 4th-gen stockholder. Member of International Motorcoach Group.,https://voigtbus.com/,high,"Attractive Minnesota tuck-in: 75+ year-old multi-generational family business with diversified school/charter/motorcoach mix, 4 facilities (Cold Spring, Minneapolis, St. Augusta, St. Cloud), anchor contract with Anoka-Hennepin (MN's largest district). Recent generational transition after Troy Voigt's 2022 death raises real succession-signal — 4th gen now actively involved but ownership group is small and could be open to exit. Diversified revenue (charter + motorcoach + body shop) is both a positive (revenue mix) and a caveat (Summit core thesis is yellow bus)."
21,Mcllwain School Bus Line Inc,PA,family-owned,independent,"[""Douglas R. McIlwain (President)"", ""Sally McIlwain"", ""Patrick McIlwain"", ""Timothy McIlwain"", ""Toby McIlwain""]",medium,1947,300,330,"[""school"", ""special-needs"", ""charter"", ""after-school activities""]","[""Greater Johnstown School District"", ""90+ schools across Cambria and Somerset Counties, PA""]","Profiled as 'evolving enterprise' for 76+ years of student transport (Tribune-Democrat, 2023); third-generation family business with Douglas McIlwain's three sons (Patrick, Timothy, Toby) actively involved, indicating an active succession-in-progress.",https://mcilwainbus.com,high,"Strong fit: large PA platform (~300 buses, 10K+ daily students) in Summit's core PA expansion footprint, well above the typical tuck-in size and could be an anchor acquisition or sub-platform. Multi-generational family with next-gen actively in business may mean longer succession runway, but scale and contract density (90+ schools) make this a high-value target."
23,Yellow Bird Co Inc,PA,family-owned,independent,"[""Robert (Bob) Hicks Jr. (Owner/President)""]",medium,1981,109,100,"[""school"", ""charter"", ""field trips"", ""sports/event transport""]","[""School District of Philadelphia (and surrounding)"", ""Philadelphia, Bucks County, Montgomery County PA, and parts of NJ""]",Continues to grow as one of Philadelphia's larger independent school bus contractors; member of PA School Bus Association and NAPT. No M&A activity surfaced.,https://yellowbirdbus.com,high,"Strong fit: mid-sized (~100+ bus) independent owner-operator in Philadelphia metro — directly in Summit's PA core. Single-owner (Bob Hicks Jr.) family business founded 1981 puts founder at likely retirement age, indicating a real succession opportunity. Geographic density (Philly/Bucks/Montco/NJ) is highly complementary to a regional tuck-in roll-up."
24,Jubb's Bus Svc,MD,family-owned,independent,"[""Eckhardt Jubb (founder, historical)"", ""Christie McDevitt (Manager / cmcdevitt@jbsbus.com)""]",high,1927,53,100,"[""school"", ""field trips"", ""sports/after-school""]","[""Anne Arundel County Public Schools (AACPS)"", ""Howard County, MD""]","Operated Maryland's first propane autogas school bus (Blue Bird Vision Propane) in 2015 in Anne Arundel County — notable innovation milestone. Officially incorporated as Jubb's Bus Service, Inc. in 1994. Facebook page now references 'Jubb's, Wilson's & Fay's Bus Service, Inc' suggesting recent combination with other small operators.",https://jubbsbusservice.com,high,"Attractive tuck-in: ~53-bus family operator (founded 1927, 4th+ generation) anchored in AACPS — Maryland is adjacent to Summit's PA/NY/NJ corridor and Anne Arundel + Howard are large, stable districts. High succession signal given near-century operating history; the recent 'Jubb's, Wilson's & Fays' combination suggests owners are open to consolidation conversations."
25,Peter Brega Inc,NY,family-owned,independent,"[""Peter Brega (founder, d. 1985)"", ""Peter Brega's four sons (current owners since ~1985)""]",high,1939,80,80,"[""school"", ""charter"", ""field trips"", ""athletic teams"", ""summer camps""]","[""Nanuet School District"", ""Nyack School District"", ""South Orangetown School District"", ""private and parochial schools in Rockland County, NY""]",Active hiring for school bus and van drivers (Glassdoor); no M&A or sale news surfaced. Second-generation (Peter's four sons) have been running the business since 1985 — owners now likely in or near retirement age.,http://www.peterbregainc.com,high,"High-fit tuck-in: ~80-bus Rockland County NY operator with stable contracts at three school districts (Nanuet, Nyack, South Orangetown) plus private/parochial coverage — in Summit's NY/NJ core footprint. Second-generation family (four brothers since 1985) likely approaching succession; long contract history with stable suburban districts is exactly the predictable revenue base Summit looks for."
26,Service Bus Tours,NY,family-owned,independent,"[""Sal DiPaolo (President)""]",high,1937,,75,"[""school"", ""charter"", ""tours""]","[""NY Metro area camps, schools, corporations, seniors groups, churches""]","Long-tenured family business (since 1937/1939 per site); shares 756 Nepperhan Ave address in Yonkers with SuperSelby (a 150+ bus family operator) suggesting possible co-location or operational ties; servicetours.com displays a 'domain for sale' note, ambiguous signal worth diligence.",https://www.servicetours.com/,medium,Yonkers-based legacy school/charter operator with ~85-year history; aging founder-led structure suggests strong succession angle. Co-location with SuperSelby (already large NYC-area school bus consolidator) raises question of whether Service Bus Tours is still independent or already affiliated — diligence required before outreach.
27,Kelly's Transit,PA,family-owned,independent,"[""Marvin Kelly (Owner)""]",high,1978,80,90,"[""school"", ""special-needs"", ""SPED""]","[""Lincoln Intermediate Unit No. 12"", ""25+ school districts across York County and Adams County, PA"", ""700+ students transported""]",Long-running SPED specialist established at the request of Lincoln IU 12 in 1978; no public M&A or litigation noted; site emphasizes special-needs niche.,https://www.kellytransit.com/,high,High-quality PA SPED tuck-in: dedicated special-needs contractor with sticky IU-12 relationship and 25+ district footprint in York/Adams counties — directly adjacent to Summit's PA platform. Founder-named operation (Marvin Kelly) suggests credible succession window.
28,Jennings Transportation,PA,family-owned,independent,"[""Janet Jennings-Ochs (President, 2nd-gen owner)"", ""Oliver Jennings (co-founder)"", ""Evelyn Jennings (co-founder)"", ""Jon Ochs (3rd gen, full-time)"", ""Meghan Ochs (3rd gen, part-time)""]",medium,1973,91,82,"[""school"", ""special-needs"", ""vans""]","[""Nazareth Area School District (primary, since founding)""]","First hybrid (plug-in) school bus in Pennsylvania, received from IC Corporation/Advanced Energy for 2006-2007 SY; 2024 incident — local schools/daycares put on lockdown after a man told Jennings employees he 'needed to' take a bus (no Jennings wrongdoing).",https://www.jenningstranscorp.com/,high,"Lehigh Valley 2nd/3rd-gen family operator with anchor Nazareth ASD contract and ~91-vehicle fleet — clean PA tuck-in profile. 3rd gen already active (Jon/Meghan), which lowers immediate succession urgency but does not preclude a liquidity event for matriarch Janet. Innovation history (PA's first hybrid) suggests well-run operation."
29,Bedford Charter Svc,MA,family-owned,independent,"[""John Martines (Owner)"", ""Orna Miles (General Manager)"", ""Debby Green (Transportation Manager)""]",high,1957,40,50,"[""school"", ""charter""]","[""Bedford Public Schools (MA) implied primary contract""]","No M&A, sale, or significant news identified; safety-focused messaging (monthly safety meetings, CORI certification, random drug testing); owns in-house 48' x 106' six-bay maintenance facility.",https://www.bedfordcharterservice.com/,high,"Small but well-run Greater Boston operator (68 yrs old, owner-operated, in-house maintenance). Outside Summit's named expansion states per source data (expansion_state=0) but MA cluster has rising consolidator interest; owner-led structure (John Martines) implies strong succession angle. Likely a tuck-in only if Summit prioritizes New England density."
30,D W Clark & Son,NJ,family-owned,independent,"[""Jerry Houghtaling (President, key principal)""]",high,1968,35,45,"[""school""]","[""Sussex County, NJ tri-state area schools (Franklin Boro, Hardyston, Sussex County Technical School referenced in local resources)""]","No M&A or significant news identified; D&B and Manta confirm continued operation at 3010 State Rt 23, Franklin, NJ; small owner-operated tri-state school bus contractor.",https://dwclarkandson.com/,medium,"Small NJ tri-state operator (~40-50 employees, Sussex County footprint) with the eponymous '& Son' branding suggesting multigenerational family ownership now led by Houghtaling. Outside Summit's named expansion list (expansion_state=0) but NJ proximity to PA platform is attractive; size is sub-scale on its own — better as bolt-on to a larger NJ acquisition than a standalone platform."
31,Cloquet Transit Co,MN,family-owned,independent,"[""Jeff Lane (President)"", ""Jack Lane (Vice President)""]",high,1952,,50,"[""school"", ""charter (via sister co LCS Coaches)""]","[""Cloquet Public Schools (ISD 94) \u2014 74-year contract; will end Aug 1, 2026 (lost to Palmer Bus Service)""]","April 2026: Cloquet Public Schools announced transition from Cloquet Transit to Palmer Bus Service effective Aug 1, 2026, after 74 years; company stated school bus segment had struggled to remain profitable and will refocus on coach buses via LCS Coaches.",http://www.cloquettransit.com/,high,Diminished tuck-in case: company is actively exiting school bus operations and lost its anchor 74-year district contract effective Aug 2026. Possible asset/route acquisition only — limited going-concern value as a school bus platform. Family principals (Jeff/Jack Lane) at natural transition point.
32,Lincoln Coach Lines,PA,family-owned,independent,"[""Lightner family (founder N. Dale Lightner, 1947)"", ""Sharon Eden (Manager)""]",high,1947,,30,"[""school"", ""charter"", ""tours""]","[""Hanover Public School District (contracted home-to-school transportation)""]",No M&A news found. Continues to operate dual school-bus and charter/tour business in Hanover/York County PA region; still Lightner-family owned per company materials.,https://www.lincolnbus.com/,medium,Attractive small PA tuck-in: 78-year-old family business with anchor Hanover district contract and a charter/tour overlay. High succession signal (2nd/3rd-gen Lightner family). Geographically complementary to Summit's PA footprint; small but stable contract base.
33,Leon George II School Buses,PA,family-owned,independent,"[""Leon A. George II (Owner)"", ""Danielle George""]",medium,1948,,35,"[""school"", ""charter""]","[""Palmerton Area School District"", ""Lehighton Area School District"", ""Jim Thorpe Area School District"", ""Carbon Career & Technical Institute (CCTI)""]","No recent M&A news. Operates two PA locations (Palmerton + Lehighton, the second added 1995). Business has shifted from charter-focused to predominantly school routes per family history page.",https://lgschoolbuses.com/,high,"Classic small-PA family tuck-in: 2nd-gen owner Leon II since 1989, 3-4 contiguous Carbon/Lehigh county district contracts, multi-location footprint. Succession signal medium (owner likely 50s-60s, no clear 3rd-gen successor mentioned). Good geographic fit for Summit's PA expansion."
34,Fullington (Bellefonte branch),PA,family-owned,Fullington Auto Bus Company (parent),"[""Jennifer Corman (Director of Sales & Customer Experience)"", ""Fullington family (parent company, founded 1908)""]",medium,1908,20,20,"[""school"", ""charter"", ""tours"", ""scheduled line runs (Trailways/Megabus)"", ""limousine""]","[""Centre County area school districts via parent Fullington network (specific district list not disclosed)""]",Fullington parent partners with Megabus for scheduled service from State College serving 18 PA cities including Bellefonte. No M&A activity announced for the Bellefonte branch specifically.,https://www.fullingtontours.com/,medium,"This is the Bellefonte satellite of 100+ year old Fullington Auto Bus (already covered by rank #1 Hollidaysburg HQ). Not an independent target — any deal would be at parent company level (11 PA locations, school + motorcoach + Trailways line-haul). High strategic interest as a platform-scale PA acquisition rather than tuck-in; succession unclear but multi-generational Fullington family business."
35,Smyth Buss Co,NY,family-owned,independent (Smyth family),"[""Bob Smyth (Owner, acquired 2017)"", ""F. Edwin Smyth (Founder, deceased)"", ""Dick Smyth (former owner, deceased 2015)""]",medium,1974,150,150,"[""school"", ""charter""]","[""Enfield Public Schools (CT)"", ""East Windsor Public Schools (CT)"", ""Windsor Locks Public Schools (CT)"", ""Howell Cheney Technical School"", ""Suffield VOAG""]",Founder's son Dick Smyth died unexpectedly in 2015; brother Bob Smyth acquired the company in 2017. Named a 'Great Fleet Across America' by School Bus Fleet magazine. No 2024-2026 M&A signals found.,https://www.smythbusct.com/,high,"Note: source record lists state as NY but company is actually Enfield, CT-based — relevant to Summit's New England footprint. Solid ~150-bus contractor with multi-district base; second-generation owner (Bob Smyth) inherited via family transition, modest succession risk over medium term. Attractive tuck-in profile."
37,Suffolk Transportation Systs,NY,family-owned,independent (Corrado family),"[""John J. Corrado (President & CEO)"", ""Thomas McAteer (EVP)"", ""Thomas W. Smith (COO)"", ""John R. Corrado (Asst VP)"", ""Joseph A. Corrado (Asst VP)"", ""Angelo Carbone (Director, Transit & Paratransit)""]",low,1922,1800,2800,"[""school"", ""charter"", ""transit"", ""paratransit"", ""activity""]","[""Multiple Suffolk County school districts (25,000+ students/day)"", ""Middle Country CSD"", ""Smithtown CSD"", ""Bay Shore School District"", ""Suffolk County Transit/paratransit (10,000+ passengers/day)""]",Partnered with Bay Shore SD on a federal DERA grant to deploy electric school buses (recent years). Multi-generational Corrado family leadership; multiple Corrado heirs in officer roles indicating active succession planning within the family. No public sale/M&A signals.,https://www.suffolkbus.com/,high,"Note: source record shows only 10 employees / $337K revenue — drastically understated. This is the LARGEST private school bus operator on Long Island (1,800 buses, 2,800 employees, Suffolk County's largest transit system). Far too big to be a tuck-in — would be a platform-scale or transformational acquisition. Multiple Corrado family members active in management = limited near-term succession trigger. Strategic target rather than tuck-in."
38,All County Bus,NY,family-owned,independent (Gregory family),"[""Donald 'Don' Gregory (Founder & CEO)"", ""Joe Gregory (co-owner / family)""]",medium,1998,170,300,"[""special-needs"", ""school"", ""SPED"", ""summer camp""]","[""Westchester County special-needs students (most of county)"", ""Yonkers Public Schools"", ""districts from Yonkers to Peekskill (250+ routes)"", ""Elmwood Day Camp and other summer programs""]",Don Gregory spun the company off in 1998 from a family-owned Yonkers bus operator he had joined in 1984; company has grown organically and remains family-owned. Listed among NYC-area school bus operators evaluated for electric bus campaigns. No M&A or sale rumors found.,https://allcountybus.com/,high,"Strong Summit fit: Westchester-focused special-needs/SPED specialist (high-margin niche), ~170 vans, 300 employees, 250+ routes. Founder Don Gregory has been in the industry since 1984 (~40+ years) suggesting medium-term succession interest. Tucks neatly into NY metro footprint."
39,Vocell Bus Co,MA,family-owned,independent (Goodman family),"[""Paul Goodman (President & CEO)"", ""Barb Goodman (CEO per source data)""]",medium,1910,100,121,"[""school"", ""charter"", ""shuttle"", ""activity"", ""consulting""]","[""Boston School Department"", ""Medford Public Schools"", ""Tufts University"", ""Museum of Science"", ""Old Sturbridge Village"", ""2,500+ clients total across New England""]","Renewed 16,000 SF Malden HQ lease (reported in Boston Real Estate Times). Company originated in Billerica, MA in 1910; Goodman family has owned/operated for multiple generations. No public sale/M&A signals.",http://www.vocell.com/,high,"Excellent Summit fit: 115+ year old Boston-area family operator with diverse customer mix (public schools, universities, museums, charter) and ~100-bus fleet. Multi-generational Goodman ownership at a stage where succession may be a topic — strong tuck-in candidate for Summit's New England platform."
40,H & L Bloom,MA,family-owned,"independent (Bloom family); operates as H & L Bloom, Inc. and sister Bloom's Bus Lines, Inc.","Harry & Lillian Bloom (founders, 1946); Mark Bloom (President per source data)",medium,1946,200,286,"[""school"", ""charter"", ""motorcoach"", ""commuter""]",Taunton Public Schools and surrounding SE Massachusetts districts; Attleboro contract historically; Boston commuter routes from Taunton/Raynham/West Bridgewater,No M&A found; long-running Taunton-area school contract; Attleboro school bus contract awarded historically to H&L Bloom. No Beacon Mobility/PE acquisition confirmed as of latest searches.,https://www.bloombus.com/,high,"Strong independent family-owned MA platform with ~200 vehicles spanning school + motorcoach. 80-year-old, multi-generational ownership = textbook Summit tuck-in profile in Massachusetts."
41,George Dapper Inc,NJ,family-owned,"independent (Dapper family, 3rd generation)","[""George Jacob Dapper (founder, 1946)"", ""George Irvin Dapper Jr. (President, joined 1969 after college/military)"", ""Carli Dapper (Operations Manager, granddaughter of founder)""]",high,1946,350,220,"[""school"", ""special-needs (wheelchair-accessible vehicles)"", ""16/24-passenger school vans"", ""54-passenger full-size school buses""]","[""Middlesex County, NJ school districts (3 terminals: Iselin, Keasbey, Avenel)""]",Grew from 3 buses (1946 Iselin start) to 350+ vehicles by 2020; one of largest independent school-vehicle contractors in NJ. No public M&A activity found.,https://www.dapbus.com,high,"Excellent Summit tuck-in candidate: 350-vehicle family operator in NJ (in-footprint), 3rd-generation ownership with founder's grandchildren now in management — classic succession profile. Strong Middlesex County contract density and special-needs capability."
43,Lucini Bus Lines,MA,family-owned,independent (Lucini family),"[""Bill (William) Lucini Sr. (Owner/President)"", ""William Lucini Jr. (son, Operations Manager)""]",medium,1959,280,149,"[""school"", ""special-needs (60 Ford E-150/Transit vans)"", ""charter/motor coach (11 coaches)"", ""field trips"", ""also runs adjacent gravel hauling biz (10 tractors)""]","[""West Bridgewater Public Schools and other MA districts in the Bridgewater region"", ""Falmouth, MA satellite shop serves 75 buses""]",Per Fleet Maintenance (Aug 2021): grew from 10 school buses in 2008 to 200+ buses (now ~280 with vans/coaches). Built new 7-bay maintenance HQ in Bridgewater ~2018. Bill Lucini publicly donated handicap-accessible van to local crash victim.,https://lucinitransportation.com,high,"High-quality MA tuck-in: ~280-vehicle family operator with school + SPED + charter mix, modern maintenance infrastructure, 65+ years in business, 2nd gen already in ops role. Recent capex (new facility) and diversified revenue make it institutional-grade."
45,Superior Bus Svc,MI (per source data; actual operator located in PA),family-owned,independent (Smyth family),"[""Meghan Smyth (Owner)""]",low,1982,13,17,"[""school"", ""field trips"", ""athletics"", ""college shuttles"", ""weddings/charter""]","[""Greater Philadelphia area: Plymouth Meeting, Conshohocken, Wayne, Radnor, Devon, Berwyn (Main Line suburbs)""]","No M&A or material news found. Active since 1982. FMCSA snapshot (USDOT 961591) shows 13 power units, 17 drivers, intrastate-only private passenger operation.",http://www.superiorbusservice.com (SSL cert expired as of 2026-06),medium,"DATA NOTE: source record lists MI/Sault Ste. Marie, but the operator at superiorbusservice.com is actually Superior Bus Service Inc of Plymouth Meeting, PA (USDOT 961591). As a PA Main-Line school-bus operator with ~13 buses owned by Meghan Smyth (who also co-founded Charter.Tech), this is a sub-scale but cleanly-run candidate — would only fit as a small fold-in to a larger PA platform; younger owner reduces succession urgency."
47,Lizak Bus Svc Inc,MA,family-owned,Lizak family (independent),"[""John Lizak (Owner, per source data)"", ""Lizak family (third generation)""]",medium,1939,30,52,"[""school"", ""charter""]","[""Area school systems around Warren, Springfield, Worcester MA"", ""Charter clients across MA""]",No recent M&A news located; company emphasizes 80+ years of operation and third-generation family ownership in marketing materials (2025).,https://www.lizakbus.com/,high,"Attractive small Central/Western MA family operator with mixed school + motor coach charter book and three-generation succession dynamic. Sub-scale (~$3M revenue, ~30 buses est.) but classic tuck-in profile in a state where Summit could consolidate small operators; charter exposure adds modest cyclicality."
48,B R Williams Inc,NJ,family-owned,Williams family (independent),"[""Chloe Williams Robbins (CEO/President since 2015)"", ""Benjamin Riley Williams Jr. (prior owner, acquired business 1975)"", ""Carol Williams (co-owner with Benjamin Jr.)""]",low,1935,40,60,"[""school""]","[""School districts in Salem, Gloucester and Cumberland Counties, NJ""]",Third-generation leader Chloe Williams Robbins has led the company since 2015; company has won safety awards and is active in Salem County Chamber and NJ School Bus Contractors Assn. No M&A signals found.,https://www.brwilliamsinc.com/,high,"Solid 90-year, family-owned South Jersey operator covering Salem/Gloucester/Cumberland counties. CEO is second-gen (acquired 1975) and likely mid-career, so succession is not imminent but possible mid-term. Geographic fit for NJ-focused tuck-in strategy; modest scale (~$3M revenue) but clean school-only book with strong safety reputation."
