a_rank,bench_rank,track,company,state,hq,composite,data_confidence,fleet_buses,drivers,founded,fmcsa_source,usdot,fmcsa_status,safety_rating,ownership_type,owner_or_parent,principals,succession_signal,service_types,districts,recent_news,website,size_tier,da_employees,da_revenue_est,fit_notes,_sf,_su,_geo,_ind,_oh,_rel,rank_old
11,,A,George's Transportation Co,PA,"Lehighton, PA",99.0,1.0,27,30,1948,census(high),1537517,A,,family-owned,independent,Leon A. George II (Owner); second-generation family business founded by Leon George Sr. and wife Esther in 1948,medium,"[""school"", ""charter"", ""field-trip"", ""sports""]","Palmerton Area School District, Lehighton Area School District, Carbon Career & Technical Institute (Carbon County, PA)","Multi-generational family operator; Leon A. George II expanded to a second location (Palmerton) in 1995. 2013 PA state safety/operations award noted. Operates as 'George's Busing Inc.' / 'Leon A. George II School Buses, Inc.' across Lehighton and Palmerton facilities; no recent M&A or distress news identified.",https://lgschoolbuses.com,single,30,888000,"Viable Summit tuck-in candidate. Independent 2nd-generation family operator (founded 1948), ~58 buses across 2 PA districts in Carbon County. Small but clean: long-tenured district contracts, stable footprint in eastern PA — geographically complementary to Summit's PA presence. Leon A. George II is the namesake owner and likely facing succession decisions over the next 5-10 years.",100,100,100,100,100,90,277
12,,A,Nichols Bus,PA,"Fleetville, PA",99.0,1.0,10,10,1941,census(high),348651,A,S,family-owned,independent,"Robyn Nichols (President); Jim Nichols (prior owner, deceased 2018); founded by Lyle 'Shorty' Nichols; 4th generation (S & K Nichols) involved",medium,"[""school"", ""charter"", ""CDL training"", ""auto repair""]","[""Lackawanna Trail School District""]","Third-generation family business; Jim Nichols (2nd-gen owner) passed in 2018, daughter Robyn took over as President; retired motorcoach line in 2010 to focus on school transportation.",https://www.nicholsbus.com,single,20,747000,"Small NEPA family operator (~12 buses) anchored to Lackawanna Trail SD. Third-gen leadership with 4th-gen involvement suggests some runway, but small scale and rural footprint = modest tuck-in for Summit's PA cluster; succession optionality is medium given owner-operator structure.",100,100,100,100,100,90,283
13,,A,Kip's Bus Svc,PA,"Curwensville, PA",99.0,1.0,21,20,1967,agent,1246246,active,None,family-owned,independent,Mary Clyde and Jan Gourley (owners per BBB); lead exec listed as Jan Rowles (likely same Jan); operates as Kips Bus Service Inc / Kips CDL Testing,high,"[""school"", ""CDL testing/training""]","[""Curwensville Area School District""]","In business since 1967 (~59 years); also operates Kips CDL Testing Inc, partnering with Curwensville SD to train substitute bus drivers amid driver shortages (WTAJ coverage).",https://www.kipscdltestinginc.com,single,20,708000,"~20-bus single-district contractor (Curwensville Area SD) in rural Clearfield County PA, ~60-year-old family business with female owner-operators – high succession probability. Small but clean tuck-in; CDL testing arm is a bonus driver-pipeline asset for Summit's PA platform.",100,100,100,100,100,90,284
14,,A,Campbell Bus Lines,PA,"Slippery Rock, PA",99.0,1.0,25,41,1970,census(high),261521,A,S,family-owned,"independent (Buco Transportation, Inc. dba Campbell Bus Lines)",Todd Campbell (Owner),medium,"[""motorcoach/charter"", ""school bus (home-to-school)"", ""collegiate athletics charter""]",Two PA school districts (home-to-school); Youngstown State University athletics; Grove City College; Slippery Rock University,Family-owned 50+ years; primarily motorcoach/charter (all-Prevost H3-45 fleet) with smaller school-bus operation; COVID-era impact on sports/charter (2020).,https://campbelltours.com/,small(2-5),135,4995000,"Marginal fit: family-owned 50+ years in PA (Summit footprint) with some school-district yellow-bus work, but core business is luxury motorcoach charter and collegiate athletics—a different asset/labor profile than Summit's home-to-school platform. Possible long-tail tuck-in only if school-bus operation can be carved out or if Summit values the charter optionality.",100,100,100,100,100,90,364
15,,A,Carefor Bus Co,NY,"Brooklyn, NY",99.0,1.0,83,102,1971,agent,1858852,active,None,family-owned,independent (Hoffman family),"[""Neil Hoffman (Owner)"", ""Marty Hoffman (VP/Co-owner)""]",medium,"[""school"", ""special-needs"", ""charter""]","[""NYC DOE (OPT vendor B2192)"", ""ARC"", ""NYPD/FDNY/NYS/NYCDOT/DSNY/DEC"", ""US military branches""]","Pre-2020: Pioneered XL Hybrid retrofit on Type-A school buses, achieving ~25% fuel economy gain and 20% CO2 reduction; publicly recognized as one of NYC's earliest hybrid school bus operators.",https://carefulbus.com/,single,200,7812000,"Strong tuck-in candidate: family-owned (Hoffman) NYC OPT special-needs/Type-A operator since 1971, ~$8M revenue/~200 employees, with a recognizable brand and innovative hybrid fleet credentials. Multi-generational ownership (Neil + Marty Hoffman) suggests potential succession opportunity. NOTE: The 'Carefor' spelling in the source list is a typo for 'Careful Bus Service Inc.' (same address, very similar phone).",100,100,100,100,100,90,371
16,,A,Sunrise Busses Inc,NY,"Greenport, NY",99.0,1.0,20,14,1937,census(medium),25607,A,S,family-owned,"independent (Brown family, 3rd-4th generation)","Christa Brown (Owner/CEO); Michelle Scheffler (daughter); Claire Martinez (granddaughter, Administration); Corinne Brown, Shannon Leonard, Gabriella Garren (family management)",high,"[""school"", ""public transit (Suffolk County)"", ""charter""]",Six North Fork / East End Long Island school districts; also operates several Suffolk County Transit routes; charter bus service. Sister to historic Sunrise Coach Lines (line-run/charter business sold to Hampton Jitney in 2006).,"Family-owned since 1937 (Brown family). 2006: sold line-run/charter operation to Hampton Jitney but retained school bus and transit operations. Christa Brown (82, widow of Robert W. Brown who died 2005) still owns and drives; 3rd/4th generation actively managing per 2024 greaterlongisland.com feature.",https://www.sunrisecoach.com/,single,128,6146000,"High-fit Long Island tuck-in candidate: aging 82-yr-old owner-operator, 4th-generation family business, six-district school book plus Suffolk transit. Strong succession signal; prior 2006 sale of charter segment to Hampton Jitney shows willingness to divest. Worth proactive outreach.",100,100,100,100,100,90,374
17,,A,Nelson Garage,PA,"Connellsville, PA",99.0,1.0,12,15,1951,census(medium),1734295,A,S,family-owned,independent,Randall K. Richter (VP); Lois Richter listed as key principal in business directories,medium,school bus contracting; charter (T.A. Nelson Coach Lines affiliate),Frazier School District; Connellsville-area routes; Geibel Catholic school services,Listed at 170 Vanderbilt Rd as T.A. Nelson Bus Lines / Nelson Bus Lines; affiliate T.A. Nelson Coach Lines provides charter; no M&A news found.,https://www.facebook.com/tanelsoncoachlines/,single,120,4138000,Long-tenured (1951) family-run Western PA operator at 170 Vanderbilt Rd with school + charter affiliate; ~60-80 buses estimate; fits Summit's PA tuck-in profile though 'Nelson Garage' label likely a DBA/garage entity for T.A. Nelson Bus Lines.,100,100,100,100,100,90,378
18,,A,Newburgh Beacon Bus Corp,NY,"New Windsor, NY",99.0,1.0,10,10,1934,census(high),21007,A,,family-owned,Gallagher family (independent),Edward F.X. Gallagher Jr. (President/CEO); founded by Frank X. Gallagher (1934),high,"[""school"", ""charter"", ""shuttle (Newburgh-Beacon Bridge / Stewart Airport via Leprechaun Lines affiliate)""]","Newburgh Enlarged City School District (NECSD), New Windsor, Archdiocese of New York approved bus list; Newburgh-Beacon Bridge / Stewart Airport shuttle services",Long-standing 90+ year family operator; Gallagher Bus Service / Newburgh Beacon Bus / Mid-State Bus operate under common Gallagher ownership; affiliated charter brand Leprechaun Lines still active (no public M&A activity),leprechaunlines.com (affiliated; no dedicated NBB site found),single,70,2899000,Strong tuck-in candidate: 90+ year independent family operator in Hudson Valley with second-generation leadership (Edward Gallagher Jr.) suggesting succession/exit potential; complementary school-bus + charter mix in a Summit-expansion NY market,100,100,100,100,100,90,383
19,,A,P Benowitz,NY,"Brooklyn, NY",99.0,1.0,42,31,1974,agent,3589863,active,None,family-owned,"Benowitz family - Phillip Benowitz, Cheryl Benowitz, Seth Benowitz; operating Penny Transportation Inc., B&F Skilled Inc., and Smart Pick Inc. all at 3100 Cropsey Ave","Phillip Benowitz (CEO, Penny Transportation); Cheryl Benowitz (owner, B&F Skilled); Seth Benowitz (owner, Smart Pick Inc.)",medium,"[""school"", ""special-needs""]",NYC DOE Office of Pupil Transportation - Brooklyn (incl. District 13) and Queens routes; affiliated entities (Penny Transportation / B&F Skilled / Smart Pick) appear on NYC DOE school-age bus company lists,"No M&A news; Penny Transportation founded 1974 by Phillip Benowitz. Family runs three co-located affiliated entities (Penny, B&F Skilled, Smart Pick) - classic NYC family operator group. Smart Pick has received public complaints on PIST NYC parent group, but no enforcement actions identified",https://bandfbus.com/ (affiliate B&F Skilled),single,36,1407000,"'P Benowitz' is a personal-name entity tied to Phillip Benowitz's Brooklyn family bus group (Penny Transportation + B&F Skilled + Smart Pick) - ~44 buses across affiliates, NYC DOE SPED contracts since 1974, 2nd-gen Benowitz family. Strong succession candidate; the real tuck-in target is the consolidated Benowitz family group, not the 'P Benowitz' personal entity alone.",100,100,100,100,100,90,446
20,,A,Susquehanna Transit Co,PA,"Blanchard, PA",99.0,1.0,130,135,1936,census(medium),228494,A,S,independent,independent,"[""Jeff Bitner (Manager, Blanchard yard)"", ""Bitner family (legacy - Bitner Busing rolled in)""]",medium,"[""school"", ""charter (Susquehanna Trailways motorcoach)"", ""handicap/SPED-equipped""]","[""Keystone Central SD"", ""Multiple central PA districts (~4 contracted)""]","Operates 100+ school buses including handicap-accessible/lift-equipped units; sister operation Susquehanna Trailways runs motorcoach charter. Previously absorbed Bitner Busing Company. Main HQ at 401 E Central Ave, Avis PA; Blanchard is a satellite yard.",https://susquehannabus.com/,single,22,781000,Significantly larger than the rank-1015 record implies - 100+ bus PA contractor with motorcoach diversification and SPED capability. Strong potential Summit platform tuck-in in central PA; the 22-employee row reflects only the Blanchard satellite.,100,100,100,100,100,90,1015
21,,A,Jacoby,PA,"Gettysburg, PA",99.0,1.0,41,33,1964,census(medium),2393176,A,,family-owned,"independent (Jacoby family, multi-generational)","[""Donald J. Jacoby (founder)"", ""Bonnie Lee Jacoby (co-founder)""]",medium,"[""school"", ""special-needs"", ""van/wheelchair-accessible""]","[""Adams County school districts (Gettysburg Area SD, Upper Adams SD region)"", ""Lincoln Intermediate Unit #12 (special-needs since 1995)""]","Multi-generational family business (founded ~1964 by Donald J. and Bonnie Lee Jacoby); sources call it 2nd-generation in some places and 4th-generation in others, suggesting active family succession. Recently opened Jacoby's Auto Center as adjacent business. FMCSA Active, 41 power units / 33 drivers, MC-822678, no out-of-service order.",https://www.jacobytransportation.com/,single,3,103000,"Legitimate, independent, multi-generational family operator with ~41-bus fleet, long-tenured Adams County / Lincoln IU#12 contracts, and a parallel auto-center business that signals owner diversification (possible succession lever). Source data understates scale (rev_est $103K and 3 employees are clearly wrong vs. 33 drivers/41 buses). Solid Summit tuck-in candidate in PA cluster - worth direct outreach despite low source rank.",100,100,100,100,100,90,1167
22,,A,Myers Transportation,PA,"Swissvale, PA",99.0,1.0,118,74,1950,census(medium),4114410,A,,family-owned,independent,"[""Myers family (current generation manages day-to-day); Mark Berkely (Manager, Swissvale/Woodland Hills Terminal)""]",medium,"[""school"", ""charter""]","[""Pittsburgh Public Schools (confirmed carrier; Myers buses include unit L401)"", ""Woodland Hills area districts (Swissvale terminal)"", ""Westmoreland County schools out of Export and Latrobe PA bases""]","No M&A located; family-owned operator with ~75-year history operating from three PA terminals (Export, Latrobe, Pittsburgh/Swissvale-Woodland Hills); active Pittsburgh Public Schools carrier as of recent district info.",https://www.myerstran.com/,single,12,504000,"The Swissvale address is Myers Transportation Inc.'s Woodland Hills Terminal — part of a multi-terminal, ~3-generation family-owned western-PA school-bus contractor serving Pittsburgh Public Schools. Strong tuck-in candidate for Summit's PA cluster on succession-driven thesis; the 12-employee figure reflects only the Swissvale terminal, with the parent company materially larger across Export/Latrobe/Pittsburgh.",100,100,100,100,100,90,1367
23,,A,Durrin Inc,NY,"Argyle, NY",99.0,1.0,13,32,1980,census(high),1212989,A,,family-owned,independent,"[""William G. Durrin (CEO/Owner/Manager)""]",high,"[""school bus routes"", ""school vans"", ""field trips"", ""special occasions"", ""student transportation""]","[""Argyle CSD area and surrounding Washington County NY school districts (Argyle, Salem, Greenwich vicinity)""]",Family-owned ~45 years per company website (founded c.1980). NYSDOT Bus Operator Profiles show Durrin Inc operating ~87 buses in the 2025-26 cycle (Region 1) with a 3.45% OOS rate; 100 buses with 5.00% violation rate in 2023-24 cycle. Listed on NYSDOT Preferred/Performance-Based Bus Safety Program rolls. FMCSA-registered since Feb 2004 (USDOT 1212989). No acquisition or PE ownership identified.,https://durrin.com/,single,4,123000,"Strong Summit tuck-in candidate. Genuine independent family-owned NY school bus operator with ~87-100 buses in upstate NY (Washington County), 45-year history under William Durrin, on NYSDOT Preferred/Good Operator list. Solid succession signal (long-tenured family CEO, no visible second generation in published materials). Geographic expansion play (NY is a Summit expansion_state); meaningful scale for a tuck-in at this revenue tier (source file's $123K rev est is clearly understated).",100,100,100,100,100,90,1777
24,,A,Penny Transportation,NY,"Brooklyn, NY",99.0,0.8,42,31,1974,census(high),3589863,A,,family-owned,independent,Phillip (Philip) Benowitz (Owner/CEO); affiliated entities B&F Skilled Inc. and Smart Pick Transportation,medium,school bus; special-needs/employee transport (NYC OPT contractor),NYC DOE / Office of Pupil Transportation routes in Brooklyn,DOT-registered with 44 power units / 45 drivers; 50-year independent NYC operator; no M&A news identified.,,single,85,3320000,50-year independent NYC yellow-bus contractor with affiliated B&F Skilled and Smart Pick entities suggesting roll-up potential; Brooklyn footprint aligns with Summit's NYC OPT expansion; succession may be near (founder-led since 1974).,100,100,100,100,100,90,381
25,,A,Briarcliff Bus Co Inc,NY,"Ossining, NY",99.0,0.8,44,30,1972,census(high),1684257,A,S,family-owned,"independent (Borho family; founded by Joe Borho, currently owned by George Borho)",George Borho (Owner); Joe Borho (Founder),"medium-high (2nd-generation family ownership, 50+ year-old business, founder generation transitioned; current owner may face own succession question)","[""school"", ""charter""]","Ossining / Briarcliff Manor area school districts in Westchester County, NY (Ossining UFSD, Briarcliff Manor UFSD likely); Satisfactory FMCSA safety rating since 2012 compliance review","No M&A news identified; MCS-150 refiled 3/24/2026, indicating active operations; 'Satisfactory' FMCSA safety rating maintained; 0 out-of-service violations and 0 crashes over trailing 24 months",,single,30,1529000,"Strong tuck-in candidate: 54-year-old 2nd-generation family business with 44 buses, clean FMCSA safety record, anchored in affluent lower Westchester (Ossining/Briarcliff Manor) which is core Summit NY territory. Named owner George Borho and multi-generational history create a clear succession narrative. Recommend prioritized outreach.",100,100,100,100,100,90,427
26,,A,Coulter Bus Svc Inc,MO,"Smithville, MO",99.0,0.8,25,45,1982,census(high),2962755,A,,family-owned,independent,Coulter family (Transportation Director per LinkedIn),medium,"[""school""]","Smithville School District (Smithville, MO) - primary contractor","FMCSA records show 25 power units, 45 drivers, intrastate-only MO operation; last MCS-150 update 2017 indicates stable small operation; clean safety record (0 crashes 24 mo)",,single,31,1347000,"Classic small family-owned single-district contractor (~25 buses, founded 1982 = 40+ years, principals likely approaching retirement). Sole contractor for Smithville schools = sticky relationship. Geographic fit modest (KC metro north suburb, MO not a core Summit state). Small but bolt-on candidate for KC-area roll-up.",100,100,100,100,100,90,459
27,,A,Hegins Valley Lines,PA,"Millersburg, PA",99.0,0.8,26,32,1933,census(medium),38149,A,,family-owned,independent (Schlegel family),"David L. Schlegel (President, retired/deceased Oct 2025); operates DBA Schlegel Transportation Co",high,"[""school"", ""charter""]","[""Tri-Valley School District (PA)"", ""charter/private passenger carrier"", ""U.S. Mail contract carrier (historical)""]","Founder/owner David L. Schlegel passed away October 9, 2025 — significant succession event for a single-owner family operator (Legacy.com obituary, 2025).",,single,25,1022000,"Strong tuck-in candidate: PA in-footprint, single family owner just passed away (Oct 2025) creating immediate succession opportunity, 26-bus fleet with steady Tri-Valley SD contract plus charter capacity. Heirs may be open to a sale; size fits Summit's tuck-in profile.",100,100,100,100,100,90,503
28,,A,Bowman Brothers Trucking Inc,PA,"Valley View, PA",99.0,0.8,25,24,1921,census(high),45866,A,,family-owned,independent,"[""Dan Bowman (President)"", ""Fred 'Fritz' J. Bowman (former President, deceased)""]",medium,"[""school"", ""trucking""]","[""Tri-Valley School District area (Schuylkill County, PA - historically; based on 1982 Tri-Valley HS yearbook ad)""]","Cited in FMCSA enforcement action ($1,990 fine for drug/alcohol testing program violations, year unspecified). Founder-generation Fred 'Fritz' Bowman passed away; son Dan Bowman now President - classic succession signal for a century-old family business.",,single,28,937000,"Century-old family-owned PA school bus + trucking operator in Schuylkill County; founder generation has passed, second-generation Dan Bowman now President - strong potential succession signal. Small scale (~28 employees) but exactly the profile for a Summit PA tuck-in if rural routes with Tri-Valley SD or nearby districts are confirmed.",100,100,100,100,100,90,994
29,,A,Bower Bus Co,PA,"Berwick, PA",99.0,0.8,11,11,1965,census(medium),1712032,A,S,family-owned,independent,"[""John R. Bower (founder's son, 2nd-gen owner 1988-2006, deceased Sept 2023)"", ""Clyde D. Bower (founder, mid-1960s)"", ""3rd-generation Bower son (current owner since 2006)""]",high,"[""school""]","[""Berwick area (Columbia/Luzerne County, PA)""]","John R. Bower died September 12, 2023; he had retired from active ownership in 2006, handing the business to his son. 3rd-generation family operator in Berwick PA.",,single,20,772000,Classic small 3rd-gen family operator in NEPA - recent death of patriarch (2023) is a textbook succession trigger. Small fleet (~15 buses) but high-fit tuck-in for a PA platform.,100,100,100,100,100,90,1016
30,,A,Muccio School Trnsprtn LLC,PA,"Saint Marys, PA",99.0,0.8,56,56,1976,census(high),2933591,A,,family-owned,independent,"[""Anthony Muccio (Owner/Operator)""]",medium,"[""school""]","[""Saint Marys Area School District (likely)"", ""Operations across St. Marys, Johnsonburg, Port Allegany, and Tionesta, PA""]",No M&A news; active LLC (USDOT 2933591). Third-party data suggests ~$3.2M revenue and ~73 employees across multiple PA locations — materially larger than the source file's 12-employee figure.,,single,12,504000,"Family-owned, ~50-year-old PA operator with multi-county footprint (Elk, McKean, Forest counties) — likely larger than source data implies. Active USDOT, no PE/strategic owner identified. Attractive Northwest/North-Central PA tuck-in candidate; worth direct outreach to confirm scale, ownership succession, and contracts.",100,100,100,100,100,90,1045
